question,answer
What disease is treated by metronidazole and rifampin?,cdi
What disease is treated by metronidazole and trimethoprim?,cdi
What disease is treated by metronidazole and aminoglycoside?,cdi
What disease is treated by metronidazole and ciprofloxacin?,cdi
What disease is treated by metronidazole and erythromycin?,cdi
What disease is treated by metronidazole and azithromycin?,cdi
What disease is treated by metronidazole and gentamicin?,cdi
What disease is treated by metronidazole and fidaxomicin?,cdi
What disease is treated by aminoglycoside and moxifloxacin?,bacteremia
What disease is treated by aminoglycoside and clarithromycin?,bacteremia
What disease is treated by aminoglycoside and doxycycline?,bacteremia
What disease is treated by aminoglycoside and ceftriaxone?,bacteremia
What disease is treated by aminoglycoside and levofloxacin?,bacteremia
What disease is treated by aminoglycoside and vancomycin?,bacteremia
What disease is treated by aminoglycoside and rifampin?,bacteremia
What disease is treated by aminoglycoside and trimethoprim?,bacteremia
What disease is treated by aminoglycoside and metronidazole?,bacteremia
What disease is treated by aminoglycoside and ciprofloxacin?,bacteremia
What disease is treated by aminoglycoside and erythromycin?,bacteremia
What disease is treated by aminoglycoside and azithromycin?,bacteremia
What disease is treated by aminoglycoside and gentamicin?,bacteremia
What disease is treated by aminoglycoside and fidaxomicin?,bacteremia
What disease is treated by gentamicin and moxifloxacin?,endocarditis
What disease is treated by gentamicin and clarithromycin?,endocarditis
What disease is treated by gentamicin and doxycycline?,endocarditis
What disease is treated by gentamicin and ceftriaxone?,endocarditis
What disease is treated by gentamicin and levofloxacin?,endocarditis
What disease is treated by gentamicin and vancomycin?,endocarditis
What disease is treated by gentamicin and rifampin?,endocarditis
What disease is treated by gentamicin and trimethoprim?,endocarditis
What disease is treated by gentamicin and metronidazole?,endocarditis
What disease is treated by gentamicin and aminoglycoside?,endocarditis
What disease is treated by gentamicin and ciprofloxacin?,endocarditis
What disease is treated by gentamicin and erythromycin?,endocarditis
What disease is treated by gentamicin and azithromycin?,endocarditis
What disease is treated by gentamicin and fidaxomicin?,endocarditis
What disease is treated by fidaxomicin and moxifloxacin?,cdi
What disease is treated by fidaxomicin and clarithromycin?,cdi
What disease is treated by fidaxomicin and doxycycline?,cdi
What disease is treated by fidaxomicin and ceftriaxone?,cdi
What disease is treated by fidaxomicin and levofloxacin?,cdi
What disease is treated by fidaxomicin and vancomycin?,cdi
What disease is treated by fidaxomicin and rifampin?,cdi
What disease is treated by fidaxomicin and trimethoprim?,cdi
What disease is treated by fidaxomicin and metronidazole?,cdi
What disease is treated by fidaxomicin and aminoglycoside?,cdi
What disease is treated by fidaxomicin and ciprofloxacin?,cdi
What disease is treated by fidaxomicin and erythromycin?,cdi
What disease is treated by fidaxomicin and azithromycin?,cdi
What disease is treated by fidaxomicin and gentamicin?,cdi
