question,answer
What medications treat diarrheal disease but not osteomyelitis?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat diarrheal disease but not peliosis hepatis?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat diarrheal disease but not endocarditis?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat diarrheal disease but not retinitis?,"ceftriaxone,ciprofloxacin"
What medications treat diarrheal disease but not peliosis nhepatis?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat diarrheal disease but not cat scratch disease?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat diarrheal disease but not salmonellosis?,"azithromycin,ciprofloxacin"
What medications treat shigellosis but not cdi?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat shigellosis but not trench fever?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat shigellosis but not bacillary angiomatosis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat shigellosis but not osteomyelitis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat shigellosis but not peliosis hepatis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat shigellosis but not endocarditis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat shigellosis but not retinitis?,"ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat shigellosis but not diarrheal disease?,"levofloxacin,trimethoprim"
What medications treat shigellosis but not peliosis nhepatis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat shigellosis but not cat scratch disease?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat shigellosis but not bacteremia?,"levofloxacin,trimethoprim"
What medications treat shigellosis but not salmonellosis?,"azithromycin,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat shigellosis but not campylobacteriosis?,"ceftriaxone,trimethoprim"
What medications treat cat scratch disease but not cdi?,"doxycycline,erythromycin"
What medications treat cat scratch disease but not trench fever?,"doxycycline,erythromycin"
What medications treat cat scratch disease but not retinitis?,"doxycycline,erythromycin"
What medications treat cat scratch disease but not diarrheal disease?,"doxycycline,erythromycin"
What medications treat cat scratch disease but not peliosis nhepatis?,"doxycycline,erythromycin"
What medications treat cat scratch disease but not shigellosis?,"doxycycline,erythromycin"
What medications treat cat scratch disease but not salmonellosis?,"doxycycline,erythromycin"
What medications treat cat scratch disease but not gastroenteritis?,"doxycycline,erythromycin"
What medications treat cat scratch disease but not campylobacteriosis?,"doxycycline,erythromycin"
What medications treat bacteremia but not cdi?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat bacteremia but not trench fever?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat bacteremia but not bacillary angiomatosis?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin"
What medications treat bacteremia but not osteomyelitis?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin"
What medications treat bacteremia but not peliosis hepatis?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin"
What medications treat bacteremia but not endocarditis?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,erythromycin"
What medications treat bacteremia but not retinitis?,"aminoglycoside,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat bacteremia but not diarrheal disease?,"aminoglycoside,doxycycline,erythromycin"
What medications treat bacteremia but not peliosis nhepatis?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat bacteremia but not shigellosis?,"aminoglycoside,doxycycline,erythromycin"
What medications treat bacteremia but not cat scratch disease?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin"
What medications treat bacteremia but not salmonellosis?,"aminoglycoside,azithromycin,ciprofloxacin,doxycycline,erythromycin"
What medications treat bacteremia but not gastroenteritis?,"aminoglycoside,doxycycline,erythromycin"
What medications treat bacteremia but not campylobacteriosis?,"aminoglycoside,ceftriaxone,doxycycline,erythromycin"
What medications treat gastroenteritis but not cdi?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not trench fever?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not bacillary angiomatosis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not osteomyelitis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not peliosis hepatis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not endocarditis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not retinitis?,"ceftriaxone,ciprofloxacin,levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not diarrheal disease?,"levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not peliosis nhepatis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not cat scratch disease?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not bacteremia?,"levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not salmonellosis?,"azithromycin,ciprofloxacin,levofloxacin,moxifloxacin,trimethoprim"
What medications treat gastroenteritis but not campylobacteriosis?,"ceftriaxone,moxifloxacin,trimethoprim"
What medications treat campylobacteriosis but not cdi?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat campylobacteriosis but not trench fever?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat campylobacteriosis but not bacillary angiomatosis?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat campylobacteriosis but not osteomyelitis?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat campylobacteriosis but not peliosis hepatis?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat campylobacteriosis but not endocarditis?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat campylobacteriosis but not retinitis?,"ciprofloxacin,levofloxacin"
What medications treat campylobacteriosis but not peliosis nhepatis?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat campylobacteriosis but not cat scratch disease?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat campylobacteriosis but not salmonellosis?,"azithromycin,ciprofloxacin,levofloxacin"
