question,answer
What pathogens cause a disease which is treated by levofloxacin but not doxycycline?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin but not vancomycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin but not rifampin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin but not metronidazole?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin but not aminoglycoside?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin but not erythromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin but not gentamicin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin but not fidaxomicin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not moxifloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not clarithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not doxycycline?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not ceftriaxone?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not levofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not rifampin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not trimethoprim?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not aminoglycoside?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not ciprofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not erythromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not azithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin but not gentamicin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim but not clarithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim but not doxycycline?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim but not vancomycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim but not rifampin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim but not metronidazole?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim but not aminoglycoside?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim but not erythromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim but not gentamicin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim but not fidaxomicin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not moxifloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not clarithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not doxycycline?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not ceftriaxone?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not levofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not rifampin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not trimethoprim?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not aminoglycoside?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not ciprofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not erythromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not azithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole but not gentamicin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside but not moxifloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside but not clarithromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside but not levofloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside but not vancomycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside but not rifampin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside but not trimethoprim?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside but not metronidazole?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside but not gentamicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside but not fidaxomicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not moxifloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not clarithromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not doxycycline?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not levofloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not vancomycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not rifampin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not trimethoprim?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not metronidazole?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not aminoglycoside?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not erythromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not gentamicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin but not fidaxomicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by erythromycin but not moxifloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by erythromycin but not clarithromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by erythromycin but not levofloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by erythromycin but not vancomycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by erythromycin but not rifampin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by erythromycin but not trimethoprim?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by erythromycin but not metronidazole?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by erythromycin but not gentamicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by erythromycin but not fidaxomicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not moxifloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not clarithromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not doxycycline?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not ceftriaxone?,"bartonella,campylobacter"
What pathogens cause a disease which is treated by azithromycin but not levofloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not vancomycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not rifampin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not trimethoprim?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not metronidazole?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not aminoglycoside?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not erythromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not gentamicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin but not fidaxomicin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not moxifloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not clarithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not doxycycline?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not ceftriaxone?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not levofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not rifampin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not trimethoprim?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not aminoglycoside?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not ciprofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not erythromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not azithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin but not gentamicin?,"campylobacter,escherichia coli,salmonella,shigella"
