document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,multiple_answers,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
107,who is the chief executive officer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,who is the chief financial officer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,who is the president of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,who is the treasurer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,who is the vice president of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Not found,,0.0,0.8571428571428571,0.0,1
37,who is the director of the company which is both the lender and the swing line in the agreement,sandra cortes,3,1,0.0,"Maria F. Maia, Managing Director",,0.0,0.8333333333333334,0.0,1
29,"who is the chief financial officer of the company associated with 911 panorama trail south, rochester, new york 14625",efrain rivera,3,0,,Efrain Rivera,0.0,1.0,0.0,1.0000000000000002,5
29,who is the chief financial officer of the company which is the parent borrower in the agreement,efrain rivera,3,0,,Efrain Rivera,0.0,1.0,0.0,1.0000000000000002,5
29,"what are the roles in the agreement of the company associated with pnc bank, national association","agent, lender, issuing bank",2,0,,"Lender, Issuing Bank and Administrative Agent",1.0,0.8,0.7045454545454546,0.7092972666062738,4
29,which companies are both the administrative borrower and the borrower in the agreement,"pnc bank, national association",1,1,,Not found,1.0,0.0,0.8620689655172413,0.0,1
29,what are the roles in the agreement of the company where lisa christian is employed,"agent, administrative borrower",2,0,,"Administrative Agent, Lender, Issuing Bank",1.0,0.5,0.725,0.35630042933313816,1
29,which companies are both the administrative agent and the agent in the agreement,"pnc bank, national association",1,1,,Not found,1.0,0.0,0.8620689655172413,0.0,1
29,"what are the roles in the agreement of the company associated with pnc bank, national association",agent,2,0,,"Lender, Issuing Bank and Administrative Agent",1.0,0.2857142857142857,0.8863636363636364,0.3032160644503863,1
37,what are the roles in the agreement of the company where maria f. maia is employed,"lender, l c issuer",2,0,,Not found,1.0,0.0,0.8235294117647058,0.0,1
37,"who is the executive vice president of the company associated with 3 waterway square place, suite 110the woodlands, tx 77380",worthing f. jackman,3,0,,Worthing F. Jackman,0.0,1.0,0.0,1.0000000000000002,5
37,who is the director of the company which is the swing line lender in the agreement,sandra cortes,3,0,,Not found,0.0,0.0,0.7692307692307693,0.0,1
37,"who is the chief financial officer and executive vice president of waste connections, inc.",worthing f. jackman,2,1,,Worthing Jackman,0.0,0.8,0.1111111111111111,1.0000000000000002,4
37,"who are the vice presidents of citizens bank, n.a","kelly nash, bryan ervin, raj nambiar, steven dixon, tad stainbrook, john kushnerick, judith a. huckins",2,0,,Judith A. Huckins,1.0,0.33333333333333337,0.8315789473684211,0.27894254532582513,1
37,"who is the chief financial officer of the company associated with 3 waterway square place, suite 110the woodlands, tx 77380",worthing f. jackman,3,0,,Worthing F. Jackman,0.0,1.0,0.0,1.0000000000000002,5
37,"what are the roles in the agreement of the company associated with bank of america, n.a.","lender, l c issuer",2,0,,"Administrative Agent, Swing Line Lender and L/C Issuer",1.0,0.3333333333333333,0.6981132075471698,0.41036264495218466,3
107,what roles do both citigroup global markets inc. and j.p. morgan securities inc. have in the agreement,"bookrunner, book manager, lead arranger",1,1,,joint lead arrangers and joint bookrunners,1.0,0.20000000000000004,0.7857142857142857,0.08704446792504217,4
107,"what role does ocelot merger sub, inc. have in the agreement which is not the role of open text inc.",borrower,2,1,,"Ocelot Merger Sub, Inc. is merging with GXS Group, Inc.",0.0,0.0,0.9019607843137255,0.0,1
107,which companies are both the collateral trustee and the trustee in the agreement,"inc, barclays bank plc, wilmington trust fsb, wells fargo foothill",1,1,,Not found,1.0,0.0,0.9047619047619048,0.0,1
107,who is the president and vice president of open text ulc,paul mcfeeters,2,1,,President and Chief Financial Officer,0.0,0.0,0.8378378378378378,0.0,1
107,who is the director of the company which is the administrative agent in the agreement,ritam bhalla,3,0,,Ritam Bhalla,0.0,1.0,0.0,1.0000000000000002,5
107,"what role does easylink services international corporation have in the agreement which is not the role of gxs worldwide, inc.",grantor,2,1,,"Easylink Services International Corporation has intercompany loans with Xpedite Systems Worldwide, Inc. and Open Text (Hong Kong) Limited.",0.0,0.0,0.9555555555555556,0.0,1
