document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response
102,"what is the role of dms health technologies, inc. in the agreement",borrowers,1,0,0,Borrower
102,"what is the role of dms imaging, inc. in the agreement",borrowers,1,0,0,Borrower
102,what is the role of md office solutions in the agreement,borrowers,1,0,0,Borrower
102,what is the role of project rendezvous holding corporation in the agreement,borrowers,1,0,0,Borrower
102,"what is the role of telerhythmics, llc in the agreement",borrowers,1,0,0,Borrower
102,what company is the administrative borrower in the agreement,digirad corporation,1,0,0,DIGIRAD CORPORATION
102,what company is the borrower in the agreement,digirad corporation,1,0,0,"DIGIRAD CORPORATION, DMS HEALTH TECHNOLOGIES, INC., DIGIRAD IMAGING SOLUTIONS, INC., DMS IMAGING, INC., TELERHYTHMICS, LLC, MD OFFICE SOLUTIONS, PROJECT RENDEZVOUS HOLDING CORPORATION"
102,what company is the administrative agent in the agreement,"wells fargo bank, national association",1,0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
102,what company is the lead arranger in the agreement,"wells fargo bank, national association",1,0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
102,what company is the book runner in the agreement,"wells fargo bank, national association",1,0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
102,what company is the lender in the agreement,"wells fargo bank, national association",1,0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
116,what is the position of nicholas jordan,managing director,1,0,0,Managing Director
116,what is the position of orit mizrachi,coo,1,0,0,COO
116,what is the position of venu rathi,cfo,1,0,0,CFO
116,what is the position of venugopal rathi,chief financial officer,1,0,0,Chief Financial Officer
116,in what organization does erica knight work,cibc bank usa,1,0,0,CIBC BANK USA
116,in what organization does nicholas jordan work,cibc bank usa,1,0,0,CIBC BANK USA
116,in what organization does nick jordan work,cibc bank usa,1,0,0,CIBC BANK USA
116,in what organization does orit mizrachi work,morgan stanley direct lending fund,1,0,0,Morgan Stanley Direct Lending Fund
116,in what organization does venu rathi work,morgan stanley direct lending fund,1,0,0,Morgan Stanley Direct Lending Fund
116,in what organization does venugopal rathi work,morgan stanley direct lending fund,1,0,0,Morgan Stanley Direct Lending Fund
116,who is the representative of morgan stanley direct lending fund,venugopal rathi,1,0,0,Venugopal Rathi
116,"which company is associated with 120 south lasalle streetchicago, illinois 60603",cibc bank usa,1,0,0,CIBC BANK USA
116,"which company is associated with 70 w. madisonchicago, illinois 60602",cibc bank usa,1,0,0,CIBC BANK USA
116,what is the role of morgan stanley direct lending fund in the agreement,the company,1,0,0,the Company
116,what company is the the company in the agreement,morgan stanley direct lending fund,1,0,0,MORGAN STANLEY DIRECT LENDING FUND
116,what company is the administrative agent in the agreement,cibc bank usa,1,0,0,CIBC BANK USA
116,"what company is the administrative agent, in the agreement",cibc bank usa,1,0,0,CIBC BANK USA
116,what company is the arranger in the agreement,cibc bank usa,1,0,0,CIBC BANK USA
116,what company is the issuing lender in the agreement,cibc bank usa,1,0,0,CIBC
117,what is the position of chris burns,senior vice president,1,0,0,Senior Vice President
117,what is the position of dawn mace moore,senior vice president,1,0,0,Senior Vice President
117,what is the position of kirsten jakobsen,vice president,1,0,0,Vice President
117,what is the position of lynn braun,executive director,1,0,0,Executive Director
117,what is the position of michael snook,senior vice president,1,0,0,Senior Vice President
117,in what organization does chris burns work,"hsbc bank usa, national association",1,0,0,"HSBC BANK USA, NATIONAL ASSOCIATION"
117,in what organization does dawn mace moore work,"hsbc bank usa, national association",1,0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
117,in what organization does jim a. swanson work,columbia sportswear company,1,0,0,COLUMBIA SPORTSWEAR COMPANY
117,in what organization does kirsten jakobsen work,royal bank of canada,1,0,0,ROYAL BANK OF CANADA
117,in what organization does lynn braun work,"n.a., jpmorgan chase bank",1,0,0,"JPMORGAN CHASE BANK, N.A."
117,in what organization does michael snook work,"hsbc bank usa, national association",1,0,0,"BANK OF AMERICA, N.A."
117,"who is the representative of columbia sportswear company,",jim a. swanson,1,0,0,Jim A. Swanson
117,"who is the representative of jpmorgan chase bank, n.a.",lynn braun,1,0,0,Lynn Braun
117,who is the representative of royal bank of canada,kirsten jakobsen,1,0,0,Kirsten Jakobsen
117,what is the location of columbia sportswear company,"or 97229, 14375 nw science park driveportland",1,0,0,"14375 NW Science Park Drive Portland, OR 97229"
117,"which company is associated with 14375 nw science park driveportland, or 97229",columbia sportswear company,1,0,0,Columbia Sportswear Company
117,"what is the role of bofa securities, inc. in the agreement",bookrunner,1,0,0,Joint Lead Arrangers and Joint Bookrunners
117,what is the role of columbia sportswear company in the agreement,borrower,1,0,0,Borrower
117,"what is the role of wells fargo securities, llc in the agreement",lead arranger,1,0,0,Joint Lead Arrangers and Joint Bookrunners
117,"what is the role of columbia sportswear company, in the agreement",borrower,1,0,0,Borrower
117,what company is the lead bookrunner in the agreement,"n.a., jpmorgan chase bank",1,0,0,"JPMORGAN CHASE BANK, N.A., WELLS FARGO SECURITIES, LLC and BOFA SECURITIES, INC."
117,what company is the issuing lender in the agreement,"n.a., jpmorgan chase bank",1,0,0,"JPMorgan Chase Bank, N.A., Wells Fargo Bank, National Association and Bank of America, N.A."
117,what company is the swing line lender in the agreement,"n.a., jpmorgan chase bank",1,0,0,"JPMorgan Chase Bank, N.A."
103,what is the position of gavin baiera,authorized signatory,1,0,0,Authorized Signatory
103,what is the position of matthew trybula,associate counsel,1,0,0,Associate Counsel
103,what is the position of paul a. barker,manager,1,0,0,Manager
103,what is the position of scott huckins,director,1,0,0,Director
103,what is the position of stephen sernett,director,1,0,0,Director
103,what is the position of stuart brown,director,1,0,0,Director
103,in what organization does gavin baiera work,"l.p., angelo, gordon co.",1,0,0,"Angelo, Gordon & Co., L.P."
103,in what organization does matthew trybula work,cortland capital market services llc,1,0,0,Cortland Capital Market Services LLC
103,in what organization does paul a. barker work,claire s luxembourg s.a r.l.,1,0,0,Not found
103,in what organization does scott huckins work,claire s fashion property corp.,1,0,0,Not found
103,in what organization does stephen sernett work,claire s fashion property corp.,1,0,0,Not found
103,in what organization does stuart brown work,claire s fashion property corp.,1,0,0,Not found
103,"who is the representative of angelo, gordon co., l.p.",gavin baiera,1,0,0,Gavin Baiera
103,who is the representative of claire s luxembourg s.a r.l.,paul a. barker,1,0,0,Paul A. Barker
103,who is the representative of cortland capital market services llc,matthew trybula,1,0,0,Matthew Trybula
103,"what is the location of o angelo, gordon co., lp","new york 10167, 245 park avenue, 26th floornew york",1,0,0,"245 Park Avenue, 26th Floor New York, New York 10167"
103,what is the location of claire s gibraltar holdings limited,"fl 33027, 3 sw 129th avenuesuite 400pembroke pines",1,0,0,"3 SW 129 th Avenue Suite 400 Pembroke Pines, FL 33027"
103,what is the location of cortland capital market services llc,"il 60606, 21st floorchicago, 225 w. washington street",1,0,0,"225 W. Washington Street, 21st Floor Chicago, IL 60606"
103,"which company is associated with 225 w. washington street, 21st floorchicago, il 60606",cortland capital market services llc,1,0,0,Cortland Capital Market Services LLC
103,"which company is associated with 245 park avenue, 26th floornew york, new york 10167","lp, o angelo, gordon co.",1,0,0,Botticelli LLC
103,"which company is associated with 3 sw 129th avenuesuite 400pembroke pines, fl 33027",claire s gibraltar holdings limited,1,0,0,Claires (Gibraltar) Holdings Limited
103,what is the role of claire s gibraltar intermediate holdings limited in the agreement,borrower,1,0,0,Borrower
103,"what is the role of claire s accessories spain, s.l. in the agreement",guarantor,1,0,0,Guarantor
103,what is the role of claire s accessories uk ltd in the agreement,guarantor,1,0,0,Guarantor
103,what is the role of claire s european distribution limited in the agreement,guarantor,1,0,0,Guarantor
103,what is the role of claire s european services limited in the agreement,guarantor,1,0,0,Guarantor
103,what is the role of claire s france s.a.s. in the agreement,guarantor,1,0,0,Guarantor
103,what is the role of claire s germany gmbh in the agreement,borrower,1,0,0,Borrower
103,what is the role of claire s holdings s.a. r.l. in the agreement,guarantor,1,0,0,Guarantor
103,what is the role of claire s holding gmbh in the agreement,guarantor,1,0,0,Guarantor
103,what is the role of claire s luxembourg s.a. r.l. in the agreement,guarantor,1,0,0,Guarantor
103,what is the role of claire s switzerland gmbh in the agreement,guarantor,1,0,0,Guarantor
103,what is the role of csi luxembourg s.a. r.l. in the agreement,guarantor,1,0,0,Guarantor
103,"what is the role of o angelo, gordon co., lp in the agreement",administrative agent,1,0,0,Administrative Agent and Lender
103,what is the role of claire s gibraltar holdings limited in the agreement,borrowers,1,0,0,Party
103,what is the role of cortland capital market services llc in the agreement,collateral agent,1,0,0,Collateral Agent
103,what is the role of claire s fashion property corp. in the agreement,guarantor,1,0,0,Guarantor
103,what company is the lender in the agreement,botticelli llc,1,0,0,Lenders party hereto from time to time
103,what company is the borrowers in the agreement,claire s gibraltar holdings limited,1,0,0,CLAIRES (GIBRALTAR) INTERMEDIATE HOLDINGS LIMITED and CLAIRES GERMANY GMBH
16,in what organization does christopher a. arnold work,crystal financial llc,1,0,0,Crystal Financial LLC
16,in what organization does ian w. estus work,standard diversified opportunities inc.,1,0,0,Standard Diversified Opportunities Inc.
16,who is the representative of crystal financial llc,christopher a. arnold,1,0,0,Christopher A. Arnold
16,who is the representative of standard diversified opportunities inc.,ian w. estus,1,0,0,Ian W. Estus
16,what is the location of crystal financial llc,"ma 02110, 17th floor boston, two international place",1,0,0,Delaware
16,"which company is associated with two international place, 17th floor boston, ma 02110",crystal financial llc,1,0,0,Crystal Financial LLC
16,what is the role of standard outdoor llc in the agreement,borrower,1,0,0,Borrower
16,what is the role of standard outdoor southeast ii llc in the agreement,borrower,1,0,0,Borrower
16,what is the role of standard outdoor southeast i llc in the agreement,borrower,1,0,0,Borrower
16,what is the role of standard outdoor southwest llc in the agreement,borrower,1,0,0,Borrower
16,what is the role of crystal financial llc in the agreement,term agent,1,0,0,"Term Agent, Term Lender"
16,what is the role of standard diversified opportunities inc. in the agreement,borrower,1,0,0,"Borrower, Designated Borrower"
16,what company is the term agent in the agreement,crystal financial llc,1,0,0,Crystal Financial LLC
14,what is the position of james harris,chief financial officer,1,0,0,Chief Financial Officer
14,what is the position of todd dittmann,authorized person,1,0,0,Authorized Person
14,in what organization does james harris work,pacific drilling s.a.,1,0,0,Pacific Drilling S.A.
14,in what organization does todd dittmann work,"llc, ag energy funding",1,0,0,"Angelo, Gordon Energy Servicer, LLC"
14,"who is the representative of ag energy funding, llc",todd dittmann,1,0,0,Todd Dittmann
14,"who is the representative of pacific drilling s.a.,",james harris,1,0,0,James Harris
14,"what is the role of angelo, gordon energy servicer,llc, in the agreement",administrative agent,1,0,0,Administrative Agent
14,what is the role of pacific bora ltd. in the agreement,subsidiary guarantors,1,0,0,Owned by Pacific Drilling Limited and Pacific Drillship Nigeria Limited
14,"what is the role of pacific drilling, inc. in the agreement",subsidiary guarantors,1,0,0,Subsidiary
14,"what is the role of pacific drilling, llc in the agreement",subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific drilling gibraltar limited in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific drilling finance s. r.l. in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific drilling holding gibraltar limited in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific drilling limited in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,"what is the role of pacific drilling operations, inc. in the agreement",subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific drilling operations limited in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific drilling vii limited in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific drilling v limited in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific drillship gibraltar limited in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific drillship nigeria limited in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific drillship s. r.l. in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific mistral ltd. in the agreement,subsidiary guarantors,1,0,0,Owned by Pacific Drilling Limited and Pacific Drillship Nigeria Limited
14,what is the role of pacific santa ana gibraltar limited in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific santa ana limited in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific scirocco ltd. in the agreement,subsidiary guarantors,1,0,0,Owned by Pacific Drilling Limited and Pacific Drillship Nigeria Limited
14,what is the role of pacific sharav korl tolt felel ss g t rsas g in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,what is the role of pacific sharav s. r.l. in the agreement,subsidiary guarantors,1,0,0,Subsidiary
14,"what is the role of ag energy funding, llc in the agreement",lender,1,0,0,Lender
14,"what is the role of pacific drilling s.a., in the agreement",borrower,1,0,0,Borrower
14,what company is the administrative agent in the agreement,"llc, angelo, gordon energy servicer",1,0,0,"Angelo, Gordon Energy Servicer, LLC"
14,what company is the lender in the agreement,"llc, ag energy funding",1,0,0,"AG Energy Funding, LLC"
14,what company is the borrower in the agreement,pacific drilling s.a.,1,0,0,Pacific Drilling S.A.
28,in what organization does jen porter work,pepper hamilton llp,1,0,0,Pepper Hamilton LLP
28,in what organization does joseph ciaffoni work,"inc., collegium pharmaceutical",1,0,0,"Collegium Pharmaceutical, Inc."
28,in what organization does paul brannelly work,"inc., collegium pharmaceutical",1,0,0,"Collegium Pharmaceutical, Inc."
28,in what organization does shirley kuhlmann work,"inc., collegium pharmaceutical",1,0,0,"Collegium Pharmaceutical, Inc."
28,"who is the representative of collegium pharmaceutical, inc.",joseph ciaffoni,1,0,0,Joseph Ciaffoni
28,who is the representative of akin gump strauss hauer feld llp,geoffrey e. secol,1,0,0,Geoffrey E. Secol
28,who is the representative of biopharma credit investments v master lp,pedro gonzalez de cosio,1,0,0,Pedro Gonzalez de Cosio
28,who is the representative of pepper hamilton llp,jen porter,1,0,0,Not found
28,who is the representative of pharmakon advisors lp,pedro gonzalez de cosio,1,0,0,Pedro Gonzalez de Cosio
28,what is the location of biopharma credit plc,51 new north roadexeter ex4 4epunited kingdom,1,0,0,c/o Beaufort House 51 New North Road Exeter EX4 4EP United Kingdom
28,what is the location of biopharma credit plc,51 new north road exeter ex4 4ep united kingdom,1,0,0,c/o Beaufort House 51 New North Road Exeter EX4 4EP United Kingdom
28,what is the location of akin gump strauss hauer feld llp,"ny 10036 6745, one bryant park new york",1,0,0,"One Bryant Park New York, NY 10036-6745"
28,what is the location of biopharma credit investments v master lp,"george town, 27 hospital road, grand cayman ky1 9008, cayman corporate centre",1,0,0,"Cayman Corporate Centre, 27 Hospital Road, George Town, Grand Cayman KY1-9008"
28,what is the location of pepper hamilton llp,"pa 19103, 3000 two logan square philadelphia",1,0,0,"3000 Two Logan Square Philadelphia, PA 19103"
28,what is the location of pharmakon advisors lp,"new york, ny 10022, 110 east 59th street",1,0,0,"110 East 59th Street, #3300 New York, NY 10022"
28,"what is the location of collegium pharmaceutical, inc.","ma 02072, suite 300 stoughton, 100 technology center drive",1,0,0,"100 Technology Center Drive, Suite 300 Stoughton, MA 02072"
28,"which company is associated with 100 technology center drive, suite 300 stoughton, ma 02072","inc., collegium pharmaceutical",1,0,0,"Collegium Pharmaceutical, Inc."
28,"which company is associated with 110 east 59th street, new york, ny 10022",pharmakon advisors lp,1,0,0,Pharmakon Advisors LP
28,"which company is associated with 3000 two logan square philadelphia, pa 19103",pepper hamilton llp,1,0,0,Pepper Hamilton LLP
28,which company is associated with 51 new north road exeter ex4 4ep united kingdom,biopharma credit plc,1,0,0,BioPharma Credit PLC
28,which company is associated with 51 new north roadexeter ex4 4epunited kingdom,biopharma credit plc,1,0,0,BioPharma Credit PLC
28,"which company is associated with cayman corporate centre, 27 hospital road,george town, grand cayman ky1 9008",biopharma credit investments v master lp,1,0,0,BioPharma Credit Investments V (Master) LP
28,"which company is associated with one bryant parknew york, ny 10036 6745",akin gump strauss hauer feld llp,1,0,0,Akin Gump Strauss Hauer & Feld LLP
28,"which company is associated with one bryant park new york, ny 10036 6745",akin gump strauss hauer feld llp,1,0,0,Akin Gump Strauss Hauer & Feld LLP
28,"what is the role of collegium pharmaceutical, inc in the agreement",borrower,1,0,0,Borrower
28,what is the role of collegium pharmaceutical inc. in the agreement,borrower,1,0,0,Borrower
28,what is the role of collegium securities corporation in the agreement,additional credit party,1,0,0,Additional Credit Party
28,"what is the role of pharmakon advisors, lp in the agreement",investment manager,1,0,0,Investment Manager
28,"what is the role of pharmakon management i, llc in the agreement",general partner,1,0,0,General Partner
28,what is the role of biopharma credit plc in the agreement,collateral agent,1,0,0,Collateral Agent and Lender
28,"what is the role of collegium pharmaceutical, inc. in the agreement",borrower,1,0,0,Borrower
28,what is the role of akin gump strauss hauer feld llp in the agreement,collateral agent,1,0,0,Not found
28,what is the role of pepper hamilton llp in the agreement,borrower,1,0,0,Counsel to all of the Credit Parties
28,what is the role of pharmakon advisors lp in the agreement,collateral agent,1,0,0,Investment Manager
28,what company is the additional credit party in the agreement,collegium securities corporation,1,0,0,Collegium Securities Corporation
28,what company is the investment manager in the agreement,"lp, pharmakon advisors",1,0,0,"Pharmakon Advisors, LP"
28,what company is the general partner in the agreement,"llc, pharmakon management i",1,0,0,"Pharmakon Management I, LLC"
129,what is the position of jeffrey glajch,chief financial officer,1,0,0,Chief Financial Officer
129,what is the position of elizabeth a. jordan,authorized officer,1,0,0,Authorized Officer
129,in what organization does jeffrey glajch work,ghm acquisition corp.,1,0,0,"Graham Corporation, GHM Acquisition Corp."
129,in what organization does elizabeth a. jordan work,"n.a., jpmorgan chase bank",1,0,0,"JPMorgan Chase Bank, N.A."
129,"who is the representative of jpmorgan chase bank, n.a.",elizabeth a. jordan,1,0,0,Elizabeth A. Jordan
129,what is the location of federal reserve system,united states of america,1,0,0,Not found
129,what is the location of graham corporation,"new york 14020, 20 florence avenuebatavia",1,0,0,"Batavia, New York"
129,what is the location of harter secrest emery llp,"new york 14606, 1600 bausch lomb placerochester",1,0,0,"Rochester, New York"
129,"what is the location of jpmorgan chase bank, n.a.","ny 14604, floor 7rochester, 1 south clinton avenue",1,0,0,"Rochester, NY"
129,"which company is associated with 1600 bausch lomb placerochester, new york 14606",harter secrest emery llp,1,0,0,Harter Secrest & Emery LLP
129,"which company is associated with 1 south clinton avenue, floor 7rochester, ny 14604","n.a., jpmorgan chase bank",1,0,0,"JPMorgan Chase Bank, N.A."
129,"which company is associated with 20 florence avenuebatavia, new york 14020",graham corporation,1,0,0,Graham Corporation
129,which company is associated with united states of america,federal reserve system,1,0,0,Not found
129,what is the role of graham corporation in the agreement,borrower,1,0,0,Borrower
129,what company is the lead arranger in the agreement,j.p. morgan securities llc,1,0,0,J.P. MORGAN SECURITIES LLC
129,what company is the lead bookrunner in the agreement,j.p. morgan securities llc,1,0,0,J.P. MORGAN SECURITIES LLC
129,what company is the administrative agent in the agreement,"n.a., jpmorgan chase bank",1,0,0,"JPMORGAN CHASE BANK, N.A."
129,what company is the issuing bank in the agreement,"n.a., jpmorgan chase bank",1,0,0,"JPMorgan Chase Bank, N.A."
129,what company is the borrower in the agreement,graham corporation,1,0,0,Graham Corporation
115,what is the position of adam rose,senior vice president,1,0,0,Senior Vice President
115,in what organization does adam rose work,"n.a., bank of america",1,0,0,"BANK OF AMERICA, N.A."
115,in what organization does melanie housey hart work,pool corporation,1,0,0,"SPLASH HOLDINGS, INC., ALLIANCE TRADING, INC., CYPRESS, INC., SCP INTERNATIONAL, INC., POOLFX SUPPLY LLC"
115,"who is the representative of bank of america, n.a.",adam rose,1,0,0,Adam Rose
115,"who is the representative of horizon distributors, inc.",jennifer m. neil,1,0,0,Jennifer M. Neil
115,"what is the role of alliance trading, inc. in the agreement",guarantors,1,0,0,Guarantor
115,"what is the role of cypress, inc. in the agreement",guarantors,1,0,0,Guarantor
115,what is the role of poolfx supply llc in the agreement,guarantors,1,0,0,Guarantor
115,what is the role of pool development llc in the agreement,guarantors,1,0,0,Guarantor
115,what is the role of scp distributors llc in the agreement,guarantors,1,0,0,Guarantor
115,"what is the role of scp international, inc. in the agreement",guarantors,1,0,0,Guarantor
115,"what is the role of splash holdings, inc. in the agreement",guarantors,1,0,0,Guarantor
115,what is the role of superior pool products llc in the agreement,guarantors,1,0,0,Guarantor
115,"what is the role of horizon distributors, inc. in the agreement",guarantors,1,0,0,Guarantor
115,what is the role of pool corporation in the agreement,borrower,1,0,0,Borrower
115,what company is the lender in the agreement,"n.a., bank of america",1,0,0,"BANK OF AMERICA, N.A."
115,what company is the borrower in the agreement,pool corporation,1,0,0,POOL CORPORATION
101,what is the position of deborah t. purvin,senior vice president,1,0,0,Senior Vice President
101,what is the position of spencer sockwell,corporate healthcare banking manager,1,0,0,Corporate Healthcare Banking  Manager
101,what is the position of stanton m. nelson,ceo,1,0,0,CEO
101,in what organization does deborah t. purvin work,"texas capital bank, national association",1,0,0,"TEXAS CAPITAL BANK, NATIONAL ASSOCIATION"
101,in what organization does spencer sockwell work,legacytexas bank,1,0,0,LEGACYTEXAS BANK
101,in what organization does stanton m. nelson work,"inc., foundation healthcare",1,0,0,"FOUNDATION HEALTHCARE, INC."
101,"who is the representative of foundation healthcare, inc.",stanton m. nelson,1,0,0,Stanton M. Nelson
101,who is the representative of legacytexas bank,spencer sockwell,1,0,0,Spencer Sockwell
101,"who is the representative of texas capital bank, national association",deborah t. purvin,1,0,0,Deborah T. Purvin
101,what is the role of legacytexas bank in the agreement,lender,1,0,0,Lender
101,what company is the borrower in the agreement,"inc., foundation healthcare",1,0,0,"FOUNDATION HEALTHCARE, INC."
101,what company is the administrative agent in the agreement,"texas capital bank, national association",1,0,0,"TEXAS CAPITAL BANK, NATIONAL ASSOCIATION"
101,what company is the lead arranger in the agreement,"texas capital bank, national association",1,0,0,"TEXAS CAPITAL BANK, NATIONAL ASSOCIATION"
101,what company is the c issuer in the agreement,"texas capital bank, national association",1,0,0,"TEXAS CAPITAL BANK, NATIONAL ASSOCIATION"
101,what company is the book runner in the agreement,"texas capital bank, national association",1,0,0,"TEXAS CAPITAL BANK, NATIONAL ASSOCIATION"
100,what is the position of christopher m. ames,"svp, global relationship manager",1,0,0,"SVP, Global Relationship Manager"
100,what is the position of mark strzynski,vice president,1,0,0,Vice President
100,what is the position of marshall trenckmann,executive director,1,0,0,Executive Director
100,what is the position of min park,vice president,1,0,0,Vice President
