document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
147,who is the executive director of the company which is the c issuer but not the administrative agent in the agreement,dawn lee lum,3,2,0,Not found,0.0,0.9166666666666666,0.0,1
147,who is the executive director of the company which is the c issuer but not the collateral agent in the agreement,dawn lee lum,3,2,0,Not found,0.0,0.9166666666666666,0.0,1
147,who is the executive director of the company which is the lender but not the administrative agent in the agreement,dawn lee lum,3,2,0,Not found,0.0,0.9166666666666666,0.0,1
147,who is the executive director of the company which is the lender but not the collateral agent in the agreement,dawn lee lum,3,2,0,Not found,0.0,0.9166666666666666,0.0,1
147,who is the executive director of the company which is the c issuer but not the lender in the agreement,dawn lee lum,3,2,0,Not found,0.0,0.9166666666666666,0.0,1
153,who is the authorized signatory of the company which is the issuing bank but not the administrative agent in the agreement,grace mahood,3,2,0,Not found,0.0,0.8333333333333334,0.0,1
153,who is the authorized signatory of the company which is the swingline lender but not the administrative agent in the agreement,grace mahood,3,2,0,Not found,0.0,0.8333333333333334,0.0,1
153,who is the authorized signatory of the company which is the swingline lender but not the issuing bank in the agreement,grace mahood,3,2,0,Not found,0.0,0.8333333333333334,0.0,1
153,who is the managing director of the company which is the swingline lender but not the issuing bank in the agreement,daniel russell,3,2,0,Not found,0.0,0.8571428571428571,0.0,1
153,who is the managing director of the company which is the swingline lender but not the co syndication agents in the agreement,daniel russell,3,2,0,Not found,0.0,0.8571428571428571,0.0,1
145,who is the director but not vice president of the company where guy major is employed,joseph d. glatt,3,2,0,Not found,0.0,0.8571428571428571,0.0,1
145,who is the director but not vice president of the company where tammy jennissen is employed,joseph d. glatt,3,2,0,Tammy Jennissen,0.0,1.0,0.0,1
151,who is the drector of the company which is the swing line lender but not the c issuer in the agreement,joseph l. corah,3,2,0,Not found,0.0,0.7857142857142857,0.0,1
151,who is the drector of the company which is the swing line lender but not the lead arrangers in the agreement,joseph l. corah,3,2,0,"Ronnie Glenn, Gregory T Martin",0.0,0.7586206896551724,0.0,1
151,who is the drector of the company which is the swing line lender but not the bookrunners in the agreement,joseph l. corah,3,2,0,Not found,0.0,0.7857142857142857,0.0,1
151,"who is the drector of the company which is the swing line lender but not the administrative agent, in the agreement",joseph l. corah,3,2,0,"Ronnie Glenn, Gregory T Martin",0.0,0.7586206896551724,0.0,1
151,who is the drector of the company which is the c issuer but not the lead arrangers in the agreement,joseph l. corah,3,2,0,"Ronnie Glenn, Gregory T Martin, Tracy Rahn",0.0,0.8,0.0,1
151,"who is the drector of the company which is the c issuer but not the administrative agent, in the agreement",joseph l. corah,3,2,0,"Ronnie Glenn, Gregory T Martin, Tracy Rahn",0.0,0.8,0.0,1
151,who is the drector of the company which is the bookrunners but not the lead arrangers in the agreement,joseph l. corah,3,2,0,Not found,0.0,0.7857142857142857,0.0,1
151,"who is the drector of the company which is the bookrunners but not the administrative agent, in the agreement",joseph l. corah,3,2,0,Not found,0.0,0.7857142857142857,0.0,1
144,who is the authorized signatory of the company which is the lender but not the agent in the agreement,maurice amsellem,3,2,0,Joseph D. Glatt,0.0,0.875,0.0,1
144,who is the authorized signatory of the company which is the lender but not the lender in the agreement,maurice amsellem,3,2,0,José I. Carmona,0.0,0.9375,0.0,1
135,who is the vice president but not treasurer of the company where christine aharonian is employed,sharon s. spurlin,3,2,0,Christine Aharonian,0.0,0.7368421052631579,0.0,1
135,who is the vice president but not treasurer of the company where gabriel juarez is employed,sharon s. spurlin,3,2,0,Gabriel Juarez,0.0,0.8125,0.0,1
135,who is the vice president but not treasurer of the company where john c. lozano is employed,sharon s. spurlin,3,2,0,John C. Lozano,0.0,0.8125,0.0,1
135,who is the vice president but not treasurer of the company where reginald crichlow is employed,sharon s. spurlin,3,2,0,Reginald Crichlow,0.0,0.8823529411764706,0.0,1
135,who is the vice president but not treasurer of the company where rosanne parsill is employed,sharon s. spurlin,3,2,0,Rosanne Parsill,0.0,0.75,0.0,1
135,who is the vice president but not treasurer of the company where david valentine is employed,sharon s. spurlin,3,2,0,David Valentine,0.0,0.8125,0.0,1
135,who is the vice president but not treasurer of the company where les werme is employed,sharon s. spurlin,3,2,0,Les Werme,0.0,0.8125,0.0,1
135,who is the vice president but not treasurer of the company where m. colin warman is employed,sharon s. spurlin,3,2,0,M. Colin Warman,0.0,0.75,0.0,1
135,who is the vice president but not treasurer of the company where mark oberreuter is employed,sharon s. spurlin,3,2,0,Mark Oberreuter,0.0,0.875,0.0,1
135,who is the vice president but not treasurer of the company where shannon juhan is employed,sharon s. spurlin,3,2,0,Shannon Juhan,0.0,0.5625,0.0,1
135,who is the vice president but not treasurer of the company where virginia cosenza is employed,sharon s. spurlin,3,2,0,Virginia Cosenza,0.0,0.875,0.0,1
135,who is the vice president but not treasurer of the company where hans beekmans is employed,sharon s. spurlin,3,2,0,Hans Beekmans,0.0,0.6875,0.0,1
135,who is the authorized officer of the company which is the lender but not the co syndication agent in the agreement,stephanie balette,3,2,0,Not found,0.0,0.8823529411764706,0.0,1
135,who is the authorized officer of the company which is the lender but not the administrative agent in the agreement,stephanie balette,3,2,0,Stephanie Balette,1.0,0.0,1.0000000000000002,5
135,who is the authorized officer of the company which is the lender but not the co documentation agent in the agreement,stephanie balette,3,2,0,Not found,0.0,0.8823529411764706,0.0,1
115,"who is the secretary but not chief legal officer, vice president of the company where melanie housey hart is employed",jennifer m. neil,3,2,0,Melanie Housey Hart,0.0,0.7894736842105263,0.0,1
115,"who is the secretary but not assistant secretary, chief accounting officer, president, treasurer of the company where jennifer m. neil is employed",melanie housey hart,3,2,0,Jennifer M. Neil,0.0,0.7894736842105263,0.0,1
115,"who is the secretary but not assistant secretary, chief accounting officer, president, treasurer of the company which is the borrower in the agreement",melanie housey hart,3,2,0,Jennifer M. Neil,0.0,0.7894736842105263,0.0,1
115,"who is the secretary but not chief legal officer, vice president of the company which is the borrower in the agreement",jennifer m. neil,3,2,0,Not found,0.0,0.8666666666666667,0.0,1
128,who is the director but not market manager of the company where gill skala is employed,leni preciado,3,2,0,Gill Skala,0.0,0.8461538461538461,0.0,1
128,who is the director but not market manager of the company where mario de luca is employed,leni preciado,3,2,0,Mario De Luca,0.0,0.8461538461538461,0.0,1
11,who is the vice president but not treasurer of the company where carolyn kee is employed,john j. tus,3,2,0,Carolyn Kee,0.0,0.9090909090909091,0.0,1
11,who is the vice president but not treasurer of the company where virginia cosenza is employed,john j. tus,3,2,0,Virginia Cosenza,0.0,0.8125,0.0,1
111,who is the managing director of the company which is the lender but not the administrative agent in the agreement,william r. goley,3,2,0,Bill Seabrook,0.0,0.7333333333333333,0.0,1
111,who is the managing director of the company which is the lender but not the co syndication agent in the agreement,william r. goley,3,2,0,Kevin Chan,0.0,0.8666666666666667,0.0,1
38,who is the executive director of the company which is the lender but not the administrative agent in the agreement,dave katz,3,2,0,Dave Katz,1.0,0.0,1.0000000000000002,5
107,who is the assistant treasurer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Not found,0.0,0.8571428571428571,0.0,1
107,who is the chief administrative officer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters,1.0,0.0,1.0000000000000002,5
107,who is the chief executive officer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters,1.0,0.0,1.0000000000000002,5
107,who is the chief financial officer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters,1.0,0.0,1.0000000000000002,5
107,who is the president of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters,1.0,0.0,1.0000000000000002,5
107,who is the treasurer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Not found,0.0,0.8571428571428571,0.0,1
107,who is the vice president of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Not found,0.0,0.8571428571428571,0.0,1
112,who is the authorized officer of the company which is the lender but not the administrative agent in the agreement,amy u. lessner,3,2,0,Robert C. Megan,0.0,0.8571428571428571,0.0,1
106,who is the vice president but not director of the company where michael getz is employed,kirkwood roland,3,2,0,Michael Getz,0.0,0.8666666666666667,0.0,1
106,who is the vice president but not director of the company where vanessa a. kurbatskiy is employed,kirkwood roland,3,2,0,Vanessa A. Kurbatskiy,0.0,0.9,0.0,1
61,who is the vice president but not director of the company where amanuel assefa is employed,jim cahow,3,2,0,Bridgett J. Manduk-Mowry,0.0,0.7727272727272727,0.0,1
61,who is the vice president but not director of the company where bridgett j. manduk mowry is employed,jim cahow,3,2,0,Amanuel Assefa,0.0,0.9285714285714286,0.0,1
61,who is the vice president but not director of the company where christopher shafto is employed,jim cahow,3,2,0,Christopher Shafto,0.0,0.8333333333333334,0.0,1
61,who is the vice president but not director of the company where liz cheng is employed,jim cahow,3,2,0,Liz Cheng,0.0,0.6666666666666666,0.0,1
61,who is the vice president but not director of the company where marko lukin is employed,jim cahow,3,2,0,Marko Lukin,0.0,0.9090909090909091,0.0,1
77,who is the authorized signatory of the company which is the lender but not the co documentation agent in the agreement,rebecca kratz,3,2,0,E. Mark Hardison,0.0,0.8666666666666667,0.0,1
77,who is the executive director of the company which is the lender but not the administrative agent in the agreement,hector j. varona,3,2,0,Not found,0.0,0.8,0.0,1
77,who is the executive director of the company which is the lender but not the issuing bank in the agreement,hector j. varona,3,2,0,Not found,0.0,0.8,0.0,1
89,who is the chief financial officer but not managing director of the company where james b. pekarek is employed,charles p. holden,3,2,0,Not found,0.0,0.875,0.0,1
72,who is the authorized signatory of the company which is the book runners but not the syndication agents in the agreement,ryan durkin,3,2,0,Craig A. Douglas,0.0,0.7333333333333333,0.0,1
72,who is the authorized signatory of the company which is the lead arrangers but not the syndication agents in the agreement,ryan durkin,3,2,0,Craig A. Douglas,0.0,0.7333333333333333,0.0,1
66,who is the authorized signer of the company which is the issuing lender but not the revolver in the agreement,james riley,3,2,0,"Ronnie Glenn, Director",0.0,0.8095238095238095,0.0,1
66,who is the authorized signer of the company which is the term loan a lender but not the revolver in the agreement,james riley,3,2,0,Not found,0.0,0.9090909090909091,0.0,1
66,who is the authorized signer of the company which is the swingline lender but not the revolver in the agreement,james riley,3,2,0,"Darin Mullis, Managing Director",0.0,0.8,0.0,1
99,who is the president but not treasurer of the company where s. victoria harvey is employed,doug couvillion,3,2,0,Not found,0.0,0.7333333333333333,0.0,1
9,"who is the senior vice president but not chief financial officer, treasurer of the company where eric searls is employed",mark e. newman,3,2,0,Eric Searls,0.0,0.7692307692307693,0.0,1
9,"who is the senior vice president but not chief financial officer, treasurer of the company where jonathan m. phillips is employed",mark e. newman,3,2,0,Jonathan M. Phillips,0.0,0.8421052631578947,0.0,1
65,who is the director of the company which is the swingline lender but not the administrative agent in the agreement,sean mcwhinnie,3,2,0,Brian D. Corum,0.0,0.8571428571428571,0.0,1
65,who is the director of the company which is the swingline lender but not the c issuer in the agreement,sean mcwhinnie,3,2,0,Brian D. Corum,0.0,0.8571428571428571,0.0,1
65,who is the director of the company which is the revolving lender but not the administrative agent in the agreement,sean mcwhinnie,3,2,0,Brian D. Corum,0.0,0.8571428571428571,0.0,1
65,who is the director of the company which is the revolving lender but not the c issuer in the agreement,sean mcwhinnie,3,2,0,Brian D. Corum,0.0,0.8571428571428571,0.0,1
58,who is the president but not chief executive officer of the company where michael fleming is employed,dennis m. lanfear,3,2,0,Michael Fleming,0.0,0.9375,0.0,1
41,who is the director of the company which is the swingline lender but not the lc issuer in the agreement,john dillon,3,2,0,Not found,0.0,0.8181818181818182,0.0,1
41,who is the director of the company which is the swingline lender but not the syndication agent in the agreement,john dillon,3,2,0,Not found,0.0,0.8181818181818182,0.0,1
41,who is the director of the company which is the swingline lender but not the administrative agent in the agreement,john dillon,3,2,0,Not found,0.0,0.8181818181818182,0.0,1
96,who is the svp of the company which is the lenders but not the syndication agent in the agreement,john m. valentine,3,2,0,Not found,0.0,0.8125,0.0,1
96,who is the svp of the company which is the lenders but not the administrative agent in the agreement,john m. valentine,3,2,0,John M. Valentine,1.0,0.0,1.0000000000000002,5
96,who is the avp portfolio mgr. of the company which is the lenders but not the co book managers in the agreement,holland h. williams,3,2,0,Not found,0.0,0.8888888888888888,0.0,1
96,who is the avp portfolio mgr. of the company which is the lenders but not the lead arrangers in the agreement,holland h. williams,3,2,0,Not found,0.0,0.8888888888888888,0.0,1
96,who is the avp portfolio mgr. of the company which is the lenders but not the administrative agent in the agreement,holland h. williams,3,2,0,Not found,0.0,0.8888888888888888,0.0,1
96,who is the avp portfolio mgr. of the company which is the lenders but not the syndication agent in the agreement,holland h. williams,3,2,0,Holland H. Williams,1.0,0.0,1.0000000000000002,5
83,"who is the senior vice president but not general counsel, secretary of the company where andrew hietala is employed",michael ray,3,2,0,Andrew Hietala,0.0,0.8571428571428571,0.0,1
83,"who is the senior vice president but not general counsel, secretary of the company where michael dixon is employed",michael ray,3,2,0,Michael Dixon,0.5,0.38461538461538464,0.33609692727625756,2
83,"who is the senior vice president but not general counsel, secretary of the company where rita e. dillon is employed",michael ray,3,2,0,Rita E. Dillon,0.0,0.8461538461538461,0.0,1
83,"who is the senior vice president but not general counsel, secretary of the company where steve levi is employed",michael ray,3,2,0,Steve Levi,0.0,0.9090909090909091,0.0,1
83,"who is the senior vice president but not general counsel, secretary of the company where steve ryan is employed",michael ray,3,2,0,Steve Ryan,0.0,0.7272727272727273,0.0,1
68,who is the executive director of the company which is the syndication agent but not the c issuer in the agreement,austin lotito,3,2,0,Not found,0.0,0.7692307692307693,0.0,1
68,who is the executive director of the company which is the documentation agent but not the c issuer in the agreement,austin lotito,3,2,0,Not found,0.0,0.7692307692307693,0.0,1
68,who is the executive director of the company which is the lender but not the c issuer in the agreement,austin lotito,3,2,0,Not found,0.0,0.7692307692307693,0.0,1
68,who is the executive director of the company which is the administrative agent but not the c issuer in the agreement,austin lotito,3,2,0,Not found,0.0,0.7692307692307693,0.0,1
54,who is the managing director but not senior vice president of the company where chuckie reddy is employed,jonathan olsen,3,2,0,Not found,0.0,0.7857142857142857,0.0,1
40,who is the first vice president of the company which is the lender but not the syndication agent in the agreement,david reading,3,2,0,David Reading,1.0,0.0,1.0000000000000002,5
40,who is the first vice president of the company which is the lender but not the co documentation agent in the agreement,david reading,3,2,0,Not found,0.0,0.8461538461538461,0.0,1
40,who is the first vice president of the company which is the lender but not the administrative agent in the agreement,david reading,3,2,0,David Reading,1.0,0.0,1.0000000000000002,5
40,who is the executive director of the company which is the lender but not the syndication agent in the agreement,hector j. varona,3,2,0,Hector J. Varona,1.0,0.0,1.0000000000000002,5
40,who is the executive director of the company which is the lender but not the co documentation agent in the agreement,hector j. varona,3,2,0,Hector J. Varona,1.0,0.0,1.0000000000000002,5
40,who is the executive director of the company which is the syndication agent but not the issuing bank in the agreement,hector j. varona,3,2,0,Not found,0.0,0.8,0.0,1
40,who is the executive director of the company which is the co documentation agent but not the issuing bank in the agreement,hector j. varona,3,2,0,Not found,0.0,0.8,0.0,1
40,who is the executive director of the company which is the administrative agent but not the issuing bank in the agreement,hector j. varona,3,2,0,Not found,0.0,0.8,0.0,1
42,"who is the senior vice president but not chief financial officer, chief financialofficer, treasurer of the company where alan garson is employed",michael j. bufano,3,2,0,Alan Garson,0.0,0.8125,0.0,1
94,who is the managing director of the company which is the swingline lender but not the administrative agent in the agreement,e. joseph hess,3,2,0,Not found,0.0,0.9230769230769231,0.0,1
94,who is the managing director of the company which is the swingline lender but not the senior managing agent in the agreement,e. joseph hess,3,2,0,Not found,0.0,0.9230769230769231,0.0,1
94,who is the managing director of the company which is the swingline lender but not the collatera agent in the agreement,e. joseph hess,3,2,0,Not found,0.0,0.9230769230769231,0.0,1
94,who is the managing director of the company which is the swingline lender but not the bookrunners in the agreement,e. joseph hess,3,2,0,Not found,0.0,0.9230769230769231,0.0,1
94,who is the managing director of the company which is the swingline lender but not the lead arrangers in the agreement,e. joseph hess,3,2,0,Not found,0.0,0.9230769230769231,0.0,1
94,who is the managing director of the company which is the administrative agent but not the lead arrangers in the agreement,e. joseph hess,3,2,0,E. Joseph Hess,1.0,0.0,1.0000000000000002,5
94,who is the managing director of the company which is the administrative agent but not the bookrunners in the agreement,e. joseph hess,3,2,0,E. Joseph Hess,1.0,0.0,1.0000000000000002,5
94,who is the managing director of the company which is the senior managing agent but not the lead arrangers in the agreement,e. joseph hess,3,2,0,Not found,0.0,0.9230769230769231,0.0,1
94,who is the managing director of the company which is the senior managing agent but not the bookrunners in the agreement,e. joseph hess,3,2,0,Not found,0.0,0.9230769230769231,0.0,1
94,who is the managing director of the company which is the collatera agent but not the lead arrangers in the agreement,e. joseph hess,3,2,0,E. Joseph Hess,1.0,0.0,1.0000000000000002,5
94,who is the managing director of the company which is the collatera agent but not the bookrunners in the agreement,e. joseph hess,3,2,0,E. Joseph Hess,1.0,0.0,1.0000000000000002,5
5,who is the senior vice president but not vice president of the company where denise smyth is employed,roy e. alexander,3,2,0,Denise Smyth,0.0,0.8666666666666667,0.0,1
5,who is the senior vice president but not vice president of the company where robert masters is employed,roy e. alexander,3,2,0,Robert Masters,0.0,0.6666666666666666,0.0,1
47,who is the vice president of the company which is the lender but not the co syndication agents in the agreement,bremmer kneib,3,2,0,Marni McManus,0.0,0.9230769230769231,0.0,1
47,who is the director of the company which is the co syndication agents but not the bookrunners in the agreement,brian mcnany,3,2,0,Not found,0.0,0.8333333333333334,0.0,1
47,who is the director of the company which is the lender but not the bookrunners in the agreement,brian mcnany,3,2,0,Not found,0.0,0.8333333333333334,0.0,1
47,who is the director of the company which is the lender but not the co syndication agents in the agreement,brian mcnany,3,2,0,Not found,0.0,0.8333333333333334,0.0,1
47,"who is the managing director of the company which is the lender but not the administrative agent, in the agreement",kirk tesch,3,2,0,Not found,0.0,0.9,0.0,1
90,who is the vice president but not treasurer of the company where christopher a. salek is employed,william c. whitaker,3,2,0,Not found,0.0,0.9444444444444444,0.0,1
90,who is the vice president but not treasurer of the company where michael vondriska is employed,william c. whitaker,3,2,0,Not found,0.0,0.9444444444444444,0.0,1
84,who is the general manager but not vp of the company where alexander wu is employed,chwan ming ho,3,2,0,Not found,0.0,0.9230769230769231,0.0,1
84,who is the general manager but not svp of the company where chwan ming ho is employed,alexander wu,3,2,0,Not found,0.0,1.0,0.0,1
84,who is the senior vice president but not treasurer of the company where brian tuerff is employed,michael a. crabtree,3,2,0,Brian Tuerff,0.0,0.8333333333333334,0.0,1
84,who is the senior vice president but not treasurer of the company where james m. armstrong is employed,michael a. crabtree,3,2,0,James M. Armstrong,0.0,0.7222222222222222,0.0,1
84,who is the senior vice president but not treasurer of the company where samuel a. bluso is employed,michael a. crabtree,3,2,0,Samuel A. Bluso,0.3333333333333333,0.6666666666666666,0.0,1
46,who is the senior vice president of the company which is the lender but not the agent in the agreement,gregory r. russano,3,2,0,John Paul Hills,0.0,0.9411764705882353,0.0,1
87,who is the senior vice president but not chief financial officer of the company where jennifer yan is employed,ronald d. ford,3,2,0,Not found,0.0,0.6923076923076923,0.0,1
87,who is the vice president but not treasurer of the company where sarah c. lesser is employed,douglas b. bingham,3,2,0,Not found,0.0,0.8235294117647058,0.0,1
86,who is the senior vice president of the company which is the lender but not the c issuer in the agreement,julie yamauchi,3,2,0,Not found,0.0,0.8571428571428571,0.0,1
86,who is the senior vice president of the company which is the lender but not the swing line lender in the agreement,julie yamauchi,3,2,0,Not found,0.0,0.8571428571428571,0.0,1
86,who is the senior vice president of the company which is the lender but not the administrative agent in the agreement,julie yamauchi,3,2,0,Not found,0.0,0.8571428571428571,0.0,1
51,who is the vice president of the company which is the collateral agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,Sonia Flores,0.0,0.8333333333333334,0.0,1
51,who is the vice president of the company which is the collateral agent but not the bookrunners in the agreement,cody gunsch,3,2,0,Sonia Flores,0.0,0.8333333333333334,0.0,1
51,who is the vice president of the company which is the collateral agent but not the lender in the agreement,cody gunsch,3,2,0,Sonia Flores,0.0,0.8333333333333334,0.0,1
51,who is the vice president of the company which is the administrative agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,Cody Gunsch,1.0,0.0,1.0000000000000002,5
51,who is the vice president of the company which is the administrative agent but not the bookrunners in the agreement,cody gunsch,3,2,0,Cody Gunsch,1.0,0.0,1.0000000000000002,5
51,who is the vice president of the company which is the administrative agent but not the lender in the agreement,cody gunsch,3,2,0,Cody Gunsch,1.0,0.0,1.0000000000000002,5
3,who is the managing director of the company which is the lender but not the syndication agent in the agreement,anand j. jobanputra,3,2,0,Anand J. Jobanputra,1.0,0.0,1.0000000000000002,5
22,who is the vice president of the company which is the lead arranger but not the book runner in the agreement,ajay jagsi,3,2,0,Not found,0.0,0.9,0.0,1
22,who is the vice president of the company which is the lender but not the book runner in the agreement,ajay jagsi,3,2,0,Not found,0.0,0.9,0.0,1
22,who is the vice president of the company which is the lender but not the lead arranger in the agreement,ajay jagsi,3,2,0,Not found,0.0,0.9,0.0,1
22,who is the authorized officer of the company which is the lender but not the lead arranger in the agreement,anca loghin,3,2,0,Not found,0.0,0.7272727272727273,0.0,1
22,who is the authorized officer of the company which is the lender but not the book runner in the agreement,anca loghin,3,2,0,Not found,0.0,0.7272727272727273,0.0,1
37,who is the managing director of the company which is the swing line lender but not the c issuer in the agreement,maria f. maia,3,2,0,Maria F. Maia,1.0,0.0,1.0000000000000002,5
23,who is the senior vice president of the company which is the lender but not the c issuer in the agreement,jonathan m. bouvet,3,2,0,Not found,0.0,0.7058823529411765,0.0,1
