Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,multiple_answers,sum_values
37,161,what company is the co syndication agents but not the lender in the agreement,bmo capital markets,2,1,,"BMO Capital Markets, The Huntington National Bank",0,3
41,160,"what role does bofa securities, inc have in the agreement which is not the role of jpmorgan chase bank, n.a.",bookrunners,2,1,,Administrative Agent,0,3
42,160,"what role does morgan stanley senior funding, inc have in the agreement which is not the role of jpmorgan chase bank, n.a.",bookrunners,2,1,,"Issuing Bank, Lender",0,3
44,148,who is the chief financial officer of the company which is the borrowers in the agreement,kevin berryman,2,1,,Kevin Berryman,0,3
47,148,what role does bnp paribas have in the agreement which is not the role of national westminster bank plc,co syndication agents,2,1,,Lender,0,3
48,148,what role does bnp paribas have in the agreement which is not the role of the bank of nova scotia,co syndication agents,2,1,,Lender,0,3
49,148,what role does bnp paribas have in the agreement which is not the role of u.s. bank national association,co syndication agents,2,1,,Lender,0,3
50,148,what role does bnp paribas have in the agreement which is not the role of bank of america,co syndication agents,2,1,,Lender,0,3
51,148,what role does national westminster bank plc have in the agreement which is not the role of td bank,documentation agents,2,1,,Lender,0,3
52,148,what role does national westminster bank plc have in the agreement which is not the role of bank of america,documentation agents,2,1,,Lender,0,3
53,148,what role does the bank of nova scotia have in the agreement which is not the role of td bank,documentation agents,2,1,,Lender,0,3
54,148,what role does the bank of nova scotia have in the agreement which is not the role of bank of america,documentation agents,2,1,,Lender,0,3
55,148,what role does u.s. bank national association have in the agreement which is not the role of td bank,documentation agents,2,1,,Lender,0,3
56,148,what role does u.s. bank national association have in the agreement which is not the role of bank of america,documentation agents,2,1,,Lender,0,3
57,148,what role does td bank have in the agreement which is not the role of bank of america,co syndication agents,2,1,,Lender,0,3
59,162,what is the position held by mark d. andrews but not by michael j. niedermaier,corporate secretary,1,2,,Corporate Secretary,0,3
60,162,what is the position held by michael j. niedermaier but not by michael rasmuson,president,1,2,,President,0,3
61,162,"who is the corporate secretary and president of nabors industries ltd.,",mark d. andrews,2,1,,Not found,0,3
63,162,"who is the chief compliance officer and general counsel of nabors alaska drilling, inc.",michael rasmuson,2,1,,Not found,0,3
65,162,"who is the chief compliance officer and senior vice president of nabors alaska drilling, inc.",michael rasmuson,2,1,,Not found,0,3
67,162,"who is the general counsel and senior vice president of nabors alaska drilling, inc.",michael rasmuson,2,1,,Not found,0,3
69,162,who is the president of the company where michael rasmuson is employed,michael j. niedermaier,3,0,,"Nabors Industries, Inc.",0,3
70,162,who is the chief compliance officer of the company where michael j. niedermaier is employed,michael rasmuson,3,0,,Not found,0,3
71,162,who is the general counsel of the company where michael j. niedermaier is employed,michael rasmuson,3,0,,Not found,0,3
72,162,who is the senior vice president of the company where michael j. niedermaier is employed,michael rasmuson,3,0,,Not found,0,3
81,162,"what role does citibank, n.a have in the agreement which is not the role of wells fargo securities, llc",administrative agent,2,1,,Administrative Agent,0,3
82,163,who is the chief financial officer of the company which is the borrower in the agreement,brian m. carolan,2,1,,Brian M. Carolan,0,3
83,163,who is the vice president of the company which is the administrative agent in the agreement,david tepper,2,1,,David Tepper,0,3
84,163,who is the vice president of the company which is the issuing bank in the agreement,david tepper,2,1,,David Tepper,0,3
85,163,who is the vice president of the company which is the lender in the agreement,david tepper,2,1,,David Tepper,0,3
86,163,who is the vice president of the company which is the swingline lender in the agreement,david tepper,2,1,,David Tepper,0,3
87,167,"who is the secretary and treasurer of powell industries international, inc.",don r. madison,2,1,,Don R. Madison,0,3
88,167,"who is the secretary and vice president of powell industries international, inc.",don r. madison,2,1,,Don R. Madison,0,3
90,167,"who is the treasurer and vice president of powell industries international, inc.",don r. madison,2,1,,Don R. Madison,0,3
99,167,"who is the senior vice president of the company which is the lender, in the agreement",shelley a. mcgregor,2,1,,Shelley A. McGregor,0,3
101,166,who is the attorney and attorney in fact of novelis mea ltd,chirag shah,2,1,,Novelis Mea Ltd.,0,3
102,166,who is the attorney and authorized signatory of novelis mea ltd,chirag shah,2,1,,Novelis Mea Ltd.,0,3
103,166,who is the attorney and person authorized by virtue of power of attorney of novelis mea ltd,chirag shah,2,1,,Novelis Mea Ltd.,0,3
104,166,who is the attorney in fact and authorized signatory of novelis mea ltd,chirag shah,2,1,,Novelis Mea Ltd.,0,3
105,166,who is the attorney in fact and person authorized by virtue of power of attorney of novelis mea ltd,chirag shah,2,1,,Novelis Mea Ltd.,0,3
106,166,who is the authorized signatory and person authorized by virtue of power of attorney of novelis mea ltd,chirag shah,2,1,,Novelis Mea Ltd.,0,3
107,166,"who is the sr. legal manager of the company associated with 3560 lenox road, suite 2000, atlanta, ga 30326",shannon curran,3,0,,Not found,0,3
108,166,who is the chief manager of the company associated with dubai uae,sudip kumar ghatak,3,0,,Not found,0,3
109,166,who is the chief executive of the company where sandeep patnaik is employed,rachit bhatia,3,0,,Carl Roberts,0,3
110,166,who is the head cbo of the company where rachit bhatia is employed,sandeep patnaik,3,0,,Rachit Bhatia,0,3
111,166,who is the senior rm trade export finance of the company where vikashh mehta is employed,nishant kumar,3,0,,Sandeep Patnaik,0,3
112,166,who is the head corporate investment banking of the company where nishant kumar is employed,vikashh mehta,3,0,,Nishant Kumar,0,3
113,166,"who is the director, credit risk management of the company where richard cox is employed",lisa kwok,3,0,,Lisa Kwok,0,3
114,166,"who is the managing director, head of credit and trading risk of the company where lisa kwok is employed",richard cox,3,0,,Richard Cox,0,3
116,166,who is the senior executive vice president of the company where dipak gupta is employed,rajeev mohan,3,0,,Dipak Gupta,0,3
117,166,"who is the manager, crc of the company where valdeep singh is employed",james perkins,3,0,,James Perkins,0,3
118,166,who is the head crc of the company where valdeep singh is employed,simon williams,3,0,,James Perkins,0,3
119,166,who is the head crc of the company where james perkins is employed,simon williams,3,0,,Simon Williams,0,3
120,166,who is the legal counsel of the company where james perkins is employed,valdeep singh,3,0,,Simon Williams,0,3
121,166,"who is the manager, crc of the company where simon williams is employed",james perkins,3,0,,Valdeep Singh,0,3
122,166,who is the legal counsel of the company where simon williams is employed,valdeep singh,3,0,,Valdeep Singh,0,3
168,166,what role does icici bank limited have in the agreement which is not the role of barclays bank plc,lead arrangers,2,1,,Lender,0,3
169,166,what role does icici bank limited have in the agreement which is not the role of state bank of india,lead arrangers,2,1,,Lead Arrangers,0,3
170,166,"what role does icici bank limited have in the agreement which is not the role of the bank of tokyo mitsubishi ufj, ltd.",lead arrangers,2,1,,Lender,0,3
171,166,what role does icici bank limited have in the agreement which is not the role of kotak mahindra bank limited,lead arrangers,2,1,,Lender,0,3
172,166,what role does icici bank limited have in the agreement which is not the role of standard chartered bank,lead arrangers,2,1,,Lender,0,3
173,166,what role does australia and new zealand banking group limited have in the agreement which is not the role of barclays bank plc,lead arrangers,2,1,,Lender,0,3
174,166,what role does australia and new zealand banking group limited have in the agreement which is not the role of state bank of india,lead arrangers,2,1,,Lender,0,3
175,166,"what role does australia and new zealand banking group limited have in the agreement which is not the role of the bank of tokyo mitsubishi ufj, ltd.",lead arrangers,2,1,,Lender,0,3
176,166,what role does australia and new zealand banking group limited have in the agreement which is not the role of kotak mahindra bank limited,lead arrangers,2,1,,Lender,0,3
177,166,what role does australia and new zealand banking group limited have in the agreement which is not the role of standard chartered bank,lead arrangers,2,1,,Lender,0,3
178,166,what role does axis bank limited have in the agreement which is not the role of kotak mahindra bank limited,lead arrangers,2,1,,Not found,0,3
179,166,what role does axis bank limited have in the agreement which is not the role of standard chartered bank,lead arrangers,2,1,,Not found,0,3
180,166,what role does bank of baroda have in the agreement which is not the role of kotak mahindra bank limited,lead arrangers,2,1,,Not found,0,3
181,166,what role does bank of baroda have in the agreement which is not the role of standard chartered bank,lead arrangers,2,1,,Not found,0,3
182,166,what company is the lead arrangers but not the lender in the agreement,icici bank limited,2,1,,Australia and New Zealand Banking Group Limited,0,3
188,166,what is the address of zonal office of the company where sudip kumar ghatak is employed,dubai uae,3,0,,Not found,0,3
192,164,who is the cfo of the company which is the the lenders in the agreement,kevin williams,2,1,,Jess Adams,0,3
195,170,who is the treasurer and vice president of starbucks corporation,richard lautch,2,1,,Richard Lautch,0,3
203,170,"what role does bank of america, n.a. have in the agreement which is not the role of jpmorgan chase bank, n.a.",l c issuer,2,1,,L/C Issuer,0,3
204,158,who is the svp of the company which is the lender in the agreement,adam rose,2,1,,The SVP of the company which is the lender in the agreement is not explicitly mentioned in the provided text.,0,3
205,159,who is the authorized signatory of the company which is the administrative agent in the agreement,james greenfield,2,1,,James Greenfield,0,3
206,159,who is the authorized signatory of the company which is the lender in the agreement,james greenfield,2,1,,James Greenfield,0,3
208,159,who is the vice president of the company which is the collateral administrator in the agreement,jon c. warn,2,1,,Jon C. Warn,0,3
209,159,who is the vice president of the company which is the collateral agent in the agreement,jon c. warn,2,1,,Jon C. Warn,0,3
210,159,who is the vice president of the company which is the securities intermediary in the agreement,jon c. warn,2,1,,Jon C. Warn,0,3
211,165,"who is the corporate secretary and general counsel of conagra brands, inc",colleen batcheler,2,1,,Colleen Batcheler,0,3
212,165,"who is the investor relations officer and treasurer of conagra brands, inc",johan nystedt,2,1,,Johan Nystedt,0,3
213,165,"who is the investor relations officer and vice president of conagra brands, inc",johan nystedt,2,1,,Johan Nystedt,0,3
214,165,"who is the treasurer and vice president of conagra brands, inc",johan nystedt,2,1,,Johan Nystedt,0,3
215,165,"who is the corporate secretary of the company associated with 222 merchandise mart plaza, suite 1300chicago, il 60654",colleen batcheler,3,0,,Colleen Batcheler,0,3
216,165,"who is the general counsel of the company associated with 222 merchandise mart plaza, suite 1300chicago, il 60654",colleen batcheler,3,0,,Colleen Batcheler,0,3
217,165,"who is the investor relations officer of the company associated with 222 merchandise mart plaza, suite 1300chicago, il 60654",johan nystedt,3,0,,Johan Nystedt,0,3
218,165,"who is the treasurer of the company associated with 222 merchandise mart plaza, suite 1300chicago, il 60654",johan nystedt,3,0,,Johan Nystedt,0,3
219,165,"who is the vice president of the company associated with 222 merchandise mart plaza, suite 1300chicago, il 60654",johan nystedt,3,0,,Johan Nystedt,0,3
220,165,who is the investor relations officer of the company where colleen batcheler is employed,johan nystedt,3,0,,Johan Nystedt,0,3
221,165,who is the treasurer of the company where colleen batcheler is employed,johan nystedt,3,0,,Johan Nystedt,0,3
222,165,who is the vice president of the company where colleen batcheler is employed,johan nystedt,3,0,,Johan Nystedt,0,3
223,165,who is the corporate secretary of the company where johan nystedt is employed,colleen batcheler,3,0,,Colleen Batcheler,0,3
224,165,who is the general counsel of the company where johan nystedt is employed,colleen batcheler,3,0,,Colleen Batcheler,0,3
225,165,who is the managing director of the company where bridgett j. manduk mowry is employed,peter duncan,3,0,,Bridgett J. Manduk Mowry,0,3
226,165,who is the managing director of the company where ryan zimmerman is employed,peter duncan,3,0,,Ryan Zimmerman,0,3
227,165,who is the managing director of the company where brigitte m. sinclair is employed,peter duncan,3,0,,Brigitte M. Sinclair,0,3
228,165,who is the managing director of the company where pacella lehane is employed,peter duncan,3,0,,Pacella Lehane,0,3
232,165,who is the executive director of the company which is the syndication agent in the agreement,tony young,2,1,,Executive Director,0,3
244,165,"what role does bank of america, n.a have in the agreement which is not the role of goldman sachs bank usa",administrative agent,2,1,,L/C Issuer,0,3
245,165,"what role does bank of america, n.a have in the agreement which is not the role of the bank of tokyo mitsubishi ufj, ltd",administrative agent,2,1,,L/C Issuer,0,3
246,165,"what role does bank of america, n.a have in the agreement which is not the role of wells fargo bank, national association",administrative agent,2,1,,L/C Issuer,0,3
247,165,"what role does bank of america, n.a have in the agreement which is not the role of jpmorgan chase bank, n.a",administrative agent,2,1,,Syndication Agent,0,3
248,165,"what role does goldman sachs bank usa have in the agreement which is not the role of mizuho bank, ltd",lender,2,1,,L/C Issuer,0,3
249,165,"what role does goldman sachs bank usa have in the agreement which is not the role of jpmorgan chase bank, n.a",documentation agents,2,1,,L/C Issuer,0,3
250,165,"what role does mizuho bank, ltd have in the agreement which is not the role of the bank of tokyo mitsubishi ufj, ltd",bookrunners,2,1,,L/C Issuer,0,3
251,165,"what role does mizuho bank, ltd have in the agreement which is not the role of wells fargo bank, national association",bookrunners,2,1,,L/C Issuer,0,3
252,165,"what role does the bank of tokyo mitsubishi ufj, ltd have in the agreement which is not the role of jpmorgan chase bank, n.a",documentation agents,2,1,,L/C Issuer,0,3
253,165,"what role does wells fargo bank, national association have in the agreement which is not the role of jpmorgan chase bank, n.a",documentation agents,2,1,,L/C Issuer,0,3
254,165,what is the address of agency management of the company which is the administrative agent in the agreement,"n.a, bank of america",3,0,,"555 California Street, 4th Floor San Francisco, CA 94104",0,3
255,168,"who is the treasurer and vice president of stanley black decker, inc.",robert t. paternostro,2,1,,Robert T. Paternostro,0,3
256,168,"who is the treasurer of the company associated with 1000 stanley drivenew britain, connecticut 06053",robert t. paternostro,3,0,,Robert T. Paternostro,0,3
257,168,"who is the vice president of the company associated with 1000 stanley drivenew britain, connecticut 06053",robert t. paternostro,3,0,,Robert T. Paternostro,0,3
258,168,"who is the vice president of the company associated with building ops ii, one penns waynew castle, de 19720",carolyn a. kee,3,0,,Carolyn A. Kee,0,3
265,168,what company is the book runners but not the administrative agent in the agreement,"inc., bofa securities",2,1,,Bookrunners,0,3
266,168,what company is the lead arrangers but not the administrative agent in the agreement,"inc., bofa securities",2,1,,Lead Arrangers,0,3
268,140,who is the authorized signatory of the company where sean mckinley is employed,demetrios tserpelis,3,0,,Sean McKinley,0,3
269,140,who is the authorized signatory of the company where tony traynor is employed,demetrios tserpelis,3,0,,Demetrios Tserpelis,0,3
271,140,who is the authorized signatory of the company which is the administrative agent in the agreement,william graham,2,1,,Demetrios Tserpelis,0,3
272,140,who is the authorized signatory of the company which is the arranger in the agreement,william graham,2,1,,William Graham,0,3
273,140,who is the authorized signatory of the company which is the lender in the agreement,william graham,2,1,,William Graham,0,3
274,154,"who is the authorized officer of the company associated with 10 south dearborn, floor l2suite il1 1145chicago, il, 60603 2300",erica cross,3,0,,Tischar N Luckett,0,3
275,154,"who is the authorized officer of the company associated with 4 new york plaza, floor 17new york, ny 10004",erica cross,3,0,,"JPMorgan Chase Bank, N.A. Commercial Banking",0,3
276,154,who is the authorized officer of the company where tischar n luckett is employed,erica cross,3,0,,Tischar N Luckett,0,3
278,154,who is the authorized officer of the company which is the bookrunner in the agreement,erica cross,2,1,,Not found,0,3
282,154,what is the address of middle market servicing of the company where tischar n luckett is employed,"il, 60603 2300, 10 south dearborn",3,0,,"JPMorgan Chase Bank, N.A. Middle Market Servicing 10 South Dearborn, Floor L2 Suite IL1-1145 Chicago, IL, 60603-2300",0,3
284,154,what is the address of commercial banking of the company where tischar n luckett is employed,"ny 10004, 4 new york plaza, floor 17new york",3,0,,"JPMorgan Chase Bank, N.A. Commercial Banking 4 New York Plaza, Floor 17 New York, NY 10004",0,3
286,155,who is the chief executive officer and directors of boxlight corporation,michael pope,2,1,,Not found,0,3
287,155,who is the chief financial officer and director of sahara holdings limited,patrick foley,2,1,,Not found,0,3
288,155,who is the chief financial officer and statutory director of sahara holdings limited,patrick foley,2,1,,Not found,0,3
290,155,who is the director and statutory director of sahara holdings limited,patrick foley,2,1,,Not found,0,3
294,155,"who is the directors of the company associated with 1045 progress circle lawrenceville, georgia 30043",michael pope,3,0,,Not found,0,3
295,155,"who is the chief executive officer of the company associated with 1045 progress circle lawrenceville, georgia 30043",michael pope,3,0,,Not found,0,3
296,155,who is the chief executive officer of the company where patrick foley is employed,michael pope,3,0,,Patrick Foley,0,3
297,155,who is the chief financial officer of the company where michael pope is employed,patrick foley,3,0,,Not found,0,3
298,155,who is the director of the company where michael pope is employed,patrick foley,3,0,,Michael Pope,0,3
299,155,who is the statutory director of the company where michael pope is employed,patrick foley,3,0,,Not found,0,3
303,155,who is the authorized signatory of the company which is the lenders in the agreement,harry chung,2,1,,"/s/ Michael R. Pope, /s/ Patrick Foley",0,3
305,169,"who is the chief accounting officer and controller of chiquita brands international, inc.",joseph b. johnson,2,1,,Not found,0,3
306,169,"who is the chief accounting officer and treasurer of chiquita brands international, inc.",joseph b. johnson,2,1,,Not found,0,3
307,169,"who is the chief accounting officer and vice president of chiquita brands international, inc.",joseph b. johnson,2,1,,Not found,0,3
308,169,"who is the controller and treasurer of chiquita brands international, inc.",joseph b. johnson,2,1,,Not found,0,3
309,169,"who is the controller and vice president of chiquita brands international, inc.",joseph b. johnson,2,1,,Not found,0,3
310,169,"who is the treasurer and vice president of chiquita brands international, inc.",joseph b. johnson,2,1,,Not found,0,3
311,169,"who is the treasurer of the company associated with 550 south caldwell streetcharlotte, north carolina 28202",joseph b. johnson,3,0,,Not found,0,3
312,169,"who is the chief accounting officer of the company associated with 550 south caldwell streetcharlotte, north carolina 28202",joseph b. johnson,3,0,,Not found,0,3
313,169,"who is the vice president of the company associated with 550 south caldwell streetcharlotte, north carolina 28202",joseph b. johnson,3,0,,Not found,0,3
314,169,"who is the controller of the company associated with 550 south caldwell streetcharlotte, north carolina 28202",joseph b. johnson,3,0,,Not found,0,3
315,169,who is the vice president of the company where timothy j. devane is employed,jeff bliss,3,0,,Not found,0,3
316,169,who is the executive director of the company where jeff bliss is employed,timothy j. devane,3,0,,Not found,0,3
329,169,"what role does goldman sachs bank usa have in the agreement which is not the role of co peratieve centrale raiffeisen boerenleenbank b.a., rabobank nederland , new york branch",documentation agent,2,1,,Not found,0,3
330,169,"what role does goldman sachs bank usa have in the agreement which is not the role of wells fargo bank, national association",documentation agent,2,1,,Not found,0,3
331,169,"what role does merrill, lynch, pierce, fenner smith incorporated have in the agreement which is not the role of co peratieve centrale raiffeisen boerenleenbank b.a., rabobank nederland , new york branch",book runners,2,1,,Not found,0,3
334,157,who is the ceo of the company associated with 1100 placid avenue plano tx 75074,mark w. king,3,0,,Mark W. King,0,3
335,157,"who is the vice president of the company associated with 2727 n. harwood, 10th floordallas, texas 75201",jason purser,3,0,,Jason Purser,0,3
336,157,"who is the owner of record of the company associated with 2727 n. harwood, 10th floordallas, texas 75201",nicholas nadolsky,3,0,,Nicholas Nadolsky,0,3
337,157,"who is the ceo of the company associated with 480 s. honduras cd, juraez, mexico",mark w. king,3,0,,Not found,0,3
338,157,who is the ceo of the company associated with 903 e. walnut st. garland tx 75040,mark w. king,3,0,,Mark W. King,0,3
339,157,who is the ceo of the company associated with 1137 e. walnut st. garland tx 75040,mark w. king,3,0,,Not found,0,3
340,157,who is the ceo of the company associated with 725 e. walnut st. garland tx 75040,mark w. king,3,0,,Not found,0,3
341,157,who is the ceo of the company associated with 905 e. walnut st. garland tx 75040,mark w. king,3,0,,Mark W. King,0,3
342,157,"who is the ceo of the company associated with 905 e. walnut streetgarland, texas 75040",mark w. king,3,0,,Mark W. King,0,3
343,157,who is the ceo of the company associated with 912 e. walnut st. garland tx 75040,mark w. king,3,0,,Not found,0,3
344,157,who is the vice president of the company associated with texas,jason purser,3,0,,Jason Purser,0,3
345,157,who is the owner of record of the company associated with texas,nicholas nadolsky,3,0,,Nicholas Nadolsky,0,3
346,157,who is the vice president of the company where nicholas nadolsky is employed,jason purser,3,0,,Jason Purser,0,3
347,157,who is the owner of record of the company where jason purser is employed,nicholas nadolsky,3,0,,Nicholas Nadolsky,0,3
356,157,what is the address of mexico location contract manufacturing of the company where mark w. king is employed,"juraez, mexico, 480 s. honduras cd",3,0,,Not found,0,3
358,157,what is the address of opto building of the company where mark w. king is employed,725 e. walnut st. garland tx 75040,3,0,,725 E. Walnut St. Garland TX 75040,0,3
359,157,what is the address of micro building and corporate office of the company where mark w. king is employed,905 e. walnut st. garland tx 75040,3,0,,905 E. Walnut St. Garland TX 75040,0,3
360,157,what is the address of assembly building of the company where mark w. king is employed,912 e. walnut st. garland tx 75040,3,0,,912 E. Walnut St. Garland TX 75040,0,3
361,143,"who is the chief financial officer and president of wingstop holdings, inc.",michael j. skipworth,2,1,,Not found,0,3
369,142,"who is the controller and principal financial officer of columbia pipeline group, inc.",nathaniel a. brown,2,1,,Nathaniel A. Brown,0,3
371,142,"who is the treasurer and vice president, finance of transcanada pipelines limited",joel e. hunter,2,1,,Joel E. Hunter,0,3
372,142,who is the senior financing manager of the company where raj acharya is employed,martin eyok,3,0,,Martin Eyok,0,3
373,142,who is the financing manager of the company where martin eyok is employed,raj acharya,3,0,,Raj Acharya,0,3
374,142,who is the associate of the company where jeff cebryk is employed,jonathan leach,3,0,,Jonathan Leach,0,3
375,142,"who is the vice president, law of the company where jon a. dobson is employed",christine r. johnston,3,0,,Christine R. Johnston,0,3
376,142,who is the treasurer of the company where jon a. dobson is employed,joel e. hunter,3,0,,Joel E. Hunter,0,3
377,142,"who is the vice president, finance of the company where jon a. dobson is employed",joel e. hunter,3,0,,Joel E. Hunter,0,3
378,142,"who is the vice president, law of the company where joel e. hunter is employed",christine r. johnston,3,0,,Christine R. Johnston,0,3
379,142,who is the treasurer of the company where christine r. johnston is employed,joel e. hunter,3,0,,Joel E. Hunter,0,3
380,142,"who is the vice president, finance of the company where christine r. johnston is employed",joel e. hunter,3,0,,Christine R. Johnston,0,3
394,142,"what role does hsbc bank canada have in the agreement which is not the role of jpmorgan chase bank, n.a.",documentation agents,2,1,,Lender,0,3
395,156,who is the chief financial officer and vice president of viavi solutions licensing llc,henk derksen,2,1,,Not found,0,3
397,156,who is the chief financial officer and executive vice president and chief financial officer of viavi solutions uk limited,henk derksen,2,1,,Henk Derksen,0,3
399,156,who is the president and treasurer of the company associated with canadian,kevin siebert,3,0,,Not found,0,3
400,156,who is the managing director of the company associated with german,andreas christoph beyertt,3,0,,Not found,0,3
401,156,who is the chief financial officer of the company associated with uk,henk derksen,3,0,,Not found,0,3
402,156,who is the executive vice president and chief financial officer of the company associated with uk,henk derksen,3,0,,Not found,0,3
403,156,who is the chief financial officer of the company associated with u.s.,henk derksen,3,0,,Not found,0,3
404,156,who is the vice president of the company associated with u.s.,henk derksen,3,0,,Not found,0,3
405,156,who is the chief financial officer of the company where guelay mese is employed,henk derksen,3,0,,Guelay Mese,0,3
406,156,who is the executive vice president and chief financial officer of the company where guelay mese is employed,henk derksen,3,0,,Not found,0,3
409,156,who is the executive director of the company which is the lende in the agreement,timothy lee,2,1,,Lender,0,3
417,156,"what role does jpmorgan chase bank, n.a. have in the agreement which is not the role of wells fargo capital finance corporation canada",lende,2,1,,Lender and an Issuing Bank,0,3
418,156,"what role does jpmorgan chase bank, n.a. have in the agreement which is not the role of bnp paribas",lende,2,1,,Lender and an Issuing Bank,0,3
419,156,"what role does jpmorgan chase bank, n.a. have in the agreement which is not the role of wells fargo bank, national association",lende,2,1,,Lender,0,3
420,156,"what role does bnp paribas have in the agreement which is not the role of wells fargo bank, national association",bookrunners,2,1,,Issuing Bank,0,3
421,156,what company is the lender but not the issuing bank in the agreement,"new york branch, deutsche bank ag",2,1,,Lender,0,3
422,152,"who is the esq. of the company associated with 400 west market street, suite 3200louisville, kentucky 40202",barry a. hines,3,0,,Barry A. Hines,0,3
423,152,"who is the esq of the company associated with 8880 west sunset road, suite 240las vegas, nevada 89148",craig d. burr,3,0,,Craig D. Burr,0,3
424,152,who is the esq of the company where michael thomas is employed,craig d. burr,3,0,,Craig D. Burr,0,3
427,152,what company is the borrower but not the borrower in the agreement,"llc, mvp realty advisors",2,1,,"MVP Realty Advisors, LLC",0,3
428,146,who is the chief compliance officer and chief legal officer of blackstone private credit fund,marisa j. beeney,2,1,,"Chief Compliance Officer, Chief Legal Officer",0,3
429,146,who is the chief compliance officer and secretary of blackstone private credit fund,marisa j. beeney,2,1,,"Chief Compliance Officer, Secretary",0,3
430,146,who is the chief legal officer and secretary of blackstone private credit fund,marisa j. beeney,2,1,,"Chief Legal Officer, Secretary",0,3
434,147,"who is the chief administrative officer and executive vice president of ppd development, l.p.",b. judd hartman,2,1,,Not found,0,3
435,147,"who is the chief administrative officer and general counsel of ppd development, l.p.",b. judd hartman,2,1,,Not found,0,3
436,147,"who is the chief administrative officer and secretary of ppd development, l.p.",b. judd hartman,2,1,,Not found,0,3
437,147,"who is the executive vice president and general counsel of ppd development, l.p.",b. judd hartman,2,1,,Not found,0,3
438,147,"who is the executive vice president and secretary of ppd development, l.p.",b. judd hartman,2,1,,Not found,0,3
439,147,"who is the general counsel and secretary of ppd development, l.p.",b. judd hartman,2,1,,Not found,0,3
451,147,what role does bank of america have in the agreement which is not the role of credit suisse ag,l c issuer,2,1,,Lender,0,3
452,147,what role does bank of america have in the agreement which is not the role of deutsche bank,l c issuer,2,1,,Lender,0,3
453,147,what role does citibank have in the agreement which is not the role of credit suisse ag,l c issuer,2,1,,Lender,0,3
454,147,what role does citibank have in the agreement which is not the role of deutsche bank,l c issuer,2,1,,Lender,0,3
455,147,what role does credit suisse ag have in the agreement which is not the role of goldman sachs bank usa,l cissuer,2,1,,Lender,0,3
456,147,"what role does credit suisse ag have in the agreement which is not the role of mizuho bank, ltd.",l cissuer,2,1,,Lender,0,3
457,147,what role does credit suisse ag have in the agreement which is not the role of barclays bank plc,l cissuer,2,1,,Lender,0,3
458,147,what role does credit suisse ag have in the agreement which is not the role of jpmorgan chase bank,l cissuer,2,1,,Lender,0,3
459,147,"what role does credit suisse ag have in the agreement which is not the role of morgan stanley senior funding, inc.",l cissuer,2,1,,Lender,0,3
460,147,what role does deutsche bank have in the agreement which is not the role of goldman sachs bank usa,l cissuer,2,1,,Lender,0,3
461,147,"what role does deutsche bank have in the agreement which is not the role of mizuho bank, ltd.",l cissuer,2,1,,Lender,0,3
462,147,what role does deutsche bank have in the agreement which is not the role of barclays bank plc,l cissuer,2,1,,Lender,0,3
463,147,what role does deutsche bank have in the agreement which is not the role of jpmorgan chase bank,l cissuer,2,1,,Lender,0,3
464,147,"what role does deutsche bank have in the agreement which is not the role of morgan stanley senior funding, inc.",l cissuer,2,1,,Lender,0,3
