document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or mufg bank, ltd.",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or pnc capital markets llc",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or wells fargo securities llc",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by citibank, n.a. or jpmorgan chase bank, n.a.",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by citibank, n.a. or mufg bank, ltd.",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by citibank, n.a. or pnc capital markets llc",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by citibank, n.a. or wells fargo securities llc",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by jpmorgan chase bank, n.a. or mufg bank, ltd.",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by jpmorgan chase bank, n.a. or pnc capital markets llc",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by jpmorgan chase bank, n.a. or wells fargo securities llc",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by mufg bank, ltd. or pnc capital markets llc",documentation agent,1,3,0,Documentation Agents
60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by mufg bank, ltd. or wells fargo securities llc",documentation agent,1,3,0,Documentation Agents
60,what is the role and subrole that bank of montreal holds in the agreement that is not held by pnc capital markets llc or wells fargo securities llc,documentation agent,1,3,0,Documentation Agents
28,who is the ceo of the company which is both the collateral and the agent in the agreement,pedro gonzalez de cosio,3,1,0,Not found
28,who is the managing member of the company which is both the collateral and the agent in the agreement,pedro gonzalez de cosio,3,1,0,Not found
101,who is the ceo of the company which is both the borrower and the borrower in the agreement,stanton m. nelson,3,1,0,Stanton M. Nelson
29,who is the chief financial officer of the company which is both the parent and the borrower in the agreement,efrain rivera,3,1,0,Efrain Rivera
11,who is the authorized signatory of the company which is both the co book managers and the initial lender in the agreement,robert ehudin,3,1,0,Not found
107,who is the assistant treasurer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0,Paul McFeeters
107,who is the chief administrative officer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0,Paul McFeeters
107,who is the chief executive officer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0,Paul McFeeters
107,who is the chief financial officer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0,Paul McFeeters
107,who is the president of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0,Paul McFeeters
107,who is the treasurer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0,Paul McFeeters
107,who is the vice president of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0,Paul McFeeters
113,who is the manager of the company which is both the borrowers and the borrowers in the agreement,sonja k. mcclelland,3,1,0,"Hurco Companies, Inc."
113,who is the managing director a and authorized representative of the company which is both the borrowers and the borrowers in the agreement,sonja k. mcclelland,3,1,0,Sonja K. McClelland
113,who is the secretary treasurer of the company which is both the borrowers and the borrowers in the agreement,sonja k. mcclelland,3,1,0,Not found
113,who is the chief executive officer of the company which is both the borrowers and the borrowers in the agreement,michael doar,3,1,0,Michael Doar
74,who is the senior vice president of the company which is both the administrative agent and the lc issuer in the agreement,jeff kalinowski,3,1,0,Jeff Kalinowski
48,who is the vice president finance of the company which is both the delegate and the general partner in the agreement,stephen j. neyland,3,1,0,Stephen J. Neyland
160,who is the authorized signatory of the company which is both the lender and the issuing bank in the agreement,michael king,3,1,0,Michael King
77,who is the authorized signatory of the company which is both the lender and the co documentation agent in the agreement,rebecca kratz,3,1,0,Rebecca Kratz
62,who is the managing director of the company which is both the arranger and the bookrunner in the agreement,pradeep mehra,3,1,0,Pradeep Mehra
166,who is the assistant vice presiden of the company which is both the lender and the bookrunners in the agreement,mark pope,3,1,0,Mark Pope
166,who is the svp credit administration of the company which is both the lender and the bookrunners in the agreement,r. srinivasa sekaran,3,1,0,R. Srinivasa Sekaran
166,who is the general manager of the company which is both the lender and the bookrunners in the agreement,suguru hattori,3,1,0,Suguru Hattori
166,who is the  managing director of the company which is both the lender and the bookrunners in the agreement,dipak gupta,3,1,0,Dipak Gupta
166,who is the senior executive vice president of the company which is both the lender and the bookrunners in the agreement,rajeev mohan,3,1,0,Rajeev Mohan
67,who is the president of the company which is both the additional credit party and the credit party in the agreement,michael fleming,3,1,0,Michael Fleming
67,who is the ceo of the company which is both the credit party and the borrower in the agreement,dennis m. lanfear,3,1,0,Dennis M. Lanfear
73,who is the assistant vice president of the company which is both the  bookrunners and the  lead arrangers in the agreement,christopher m. aitkin,3,1,0,Christopher M. Aitkin of Barclays Bank PLC
73,who is the director of the company which is both the  bookrunners and the  lead arrangers in the agreement,lindsey mcgraw,3,1,0,"Lindsey McGraw of Wells Fargo Bank, National Association"
9,who is the associate of the company which is both the lender and the swing line in the agreement,wei jen yuan,3,1,0,Wei-Jen Yuan
9,who is the vice president of the company which is both the lender and the swing line in the agreement,raymond g. dunning,3,1,0,Raymond G. Dunning
9,who is the authorised signatory of the company which is both the lender and the swing line in the agreement,brian d. williams,3,1,0,Brian D. Williams
164,who is the officer of the company which is both the syndication agents and the lender in the agreement,tyler tirpak,3,1,0,"Tyler Tirpak is an officer of Regions Bank, and Alex Harrison is an officer of Truist Bank. Both Regions Bank and Truist Bank are Co-Syndication Agents and Lenders."
170,who is the executive director of the company which is both the lender and the swing line in the agreement,gillian dickson,3,1,0,"Gillian Dickson, Matthew Gregg"
159,who is the authorized signatory of the company which is both the administrative agent and the lender in the agreement,james greenfield,3,1,0,James Greenfield
159,who is the chief accounting officer of the company which is both the portfolio manager and the  member in the agreement,cory e. gilbert,3,1,0,Cory E. Gilbert
165,who is the executive director of the company which is both the lender and the syndication agent in the agreement,tony young,3,1,0,Tony Young
165,who is the corporate secretary of the company which is both the company and the lenders in the agreement,colleen batcheler,3,1,0,Colleen Batcheler
165,who is the general counsel of the company which is both the company and the lenders in the agreement,colleen batcheler,3,1,0,Colleen Batcheler
165,who is the investor relations officer of the company which is both the company and the lenders in the agreement,johan nystedt,3,1,0,Johan Nystedt
165,who is the treasurer of the company which is both the company and the lenders in the agreement,johan nystedt,3,1,0,Johan Nystedt
165,who is the vice president of the company which is both the company and the lenders in the agreement,johan nystedt,3,1,0,Bridgett J. Manduk Mowry
58,who is the managing partner of the company which is both the agent and the administrative in the agreement,clarke b. futch,3,1,0,Clarke B. Futch
41,who is the senior banker of the company which is both the lender and the swingline in the agreement,j.e. hall,3,1,0,Not found
55,who is the banking officer of the company which is both the administrative and the agent in the agreement,cora holland koller,3,1,0,Cora Holland-Koller
69,who is the chief executive officer of the company which is both the subsidiary guarantors and the subsidiary in the agreement,michael shustek,3,1,0,Michael Shustek
69,who is the manager of the company which is both the subsidiary guarantors and the subsidiary in the agreement,michael shustek,3,1,0,Michael Shustek
69,who is the vice president of the company which is both the administrative and the agent in the agreement,christopher t. neil,3,1,0,Christopher T. Neil
82,who is the attorney in fact of the company which is both the subsidiary and the borrower in the agreement,john l. healy,3,1,0,John L. Healy
82,who is the secretary of the company which is both the subsidiary and the borrower in the agreement,john l. healy,3,1,0,Not found
82,who is the vice president of the company which is both the subsidiary and the borrower in the agreement,john l. healy,3,1,0,John L. Healy
82,who is the treasurer of the company which is both the subsidiary and the borrower in the agreement,david c. francisco,3,1,0,David C. Francisco
168,who is the director of the company which is both the lender and the syndication agent in the agreement,michael contreras,3,1,0,Not found
155,who is the chief operating officer of the company which is both the guarantors and the washington corporation in the agreement,hank nance,3,1,0,Hank Nance
155,who is the chief executive officer of the company which is both the arizona limited liability company and the guarantors in the agreement,michael r. pope,3,1,0,Michael R. Pope
155,who is the authorized signatory of the company which is both the lenders and the lenders in the agreement,harry chung,3,1,0,Harry Chung
169,who is the chief accounting officer of the company which is both the parent and the borrower in the agreement,joseph b. johnson,3,1,0,Joseph B. Johnson
169,who is the controller of the company which is both the parent and the borrower in the agreement,joseph b. johnson,3,1,0,Joseph B. Johnson
169,who is the treasurer of the company which is both the parent and the borrower in the agreement,joseph b. johnson,3,1,0,Joseph B. Johnson
169,who is the vice president of the company which is both the parent and the borrower in the agreement,joseph b. johnson,3,1,0,Joseph B. Johnson
83,who is the vice president general manager of the company which is both the lender and the swing line in the agreement,shu fei sophia lin,3,1,0,Not found
83,who is the vp deputy general manager of the company which is both the lender and the swing line in the agreement,robin s. wu,3,1,0,Not found
83,who is the svp and branch manager of the company which is both the lender and the swing line in the agreement,haiyong yang,3,1,0,Not found
83,who is the director and senior relationship manager of the company which is both the lender and the swing line in the agreement,cecile segovia,3,1,0,Not found
83,who is the svp branch manager of the company which is both the lender and the swing line in the agreement,ralph wu,3,1,0,Haiyong Yang
83,who is the general manager of the company which is both the lender and the swing line in the agreement,james mcwalters,3,1,0,James McWalters
83,who is the s.v.p. general manager of the company which is both the lender and the swing line in the agreement,henry c. r. leu,3,1,0,"Hsiao-Ho Huang, Henry C. R. Leu"
83,who is the svp general manager of the company which is both the lender and the swing line in the agreement,hsiao ho huang,3,1,0,Not found
83,who is the assistant vice president of the company which is both the lender and the swing line in the agreement,matthew d. meister,3,1,0,Matthew D. Meister
83,who is the evp corporate commercial banking of the company which is both the lender and the swing line in the agreement,maurici llad,3,1,0,Maurici Lladó
83,who is the vp general manager of the company which is both the lender and the swing line in the agreement,li hua huang,3,1,0,"Jane Chang, Kang Yang, Li-Hua Huang"
83,who is the vp credit and documentation of the company which is both the lender and the swing line in the agreement,ivan vera,3,1,0,Ivan Vera
83,"who is the corporate banking, directo of the company which is both the lender and the swing line in the agreement",juan segundo,3,1,0,Juan Segundo
83,who is the associate director of the company which is both the lender and the swing line in the agreement,johanna minaya,3,1,0,Johanna Minaya
83,who is the credit documentation manager of the company which is both the lender and the swing line in the agreement,robert k. reddington,3,1,0,Robert K. Reddington
83,who is the svp coo of the company which is both the lender and the swing line in the agreement,danny leung,3,1,0,Danny Leung
83,who is the svp of the company which is both the lender and the swing line in the agreement,james hua,3,1,0,"Andrew Hietala, Michael Dixon, Steve Levi, Steve Ryan, James Hua"
83,who is the general counsel of the company which is both the cayman borrower and the us borrower in the agreement,michael ray,3,1,0,Michael Ray
83,who is the secretary of the company which is both the cayman borrower and the us borrower in the agreement,michael ray,3,1,0,Michael Ray
142,"who is the director, resources energy group of the company which is both the documentation agents and the lender in the agreement",jason lang,3,1,0,Jason Lang
156,who is the executive director of the company which is both the issuing bank and the lende in the agreement,timothy lee,3,1,0,Timothy Lee
156,who is the senior vice president of the company which is both the lender and the issuing bank in the agreement,carmela massari,3,1,0,Carmela Massari
156,who is the president and treasurer of the company which is both the canadian borrower and the borrowers in the agreement,kevin siebert,3,1,0,Kevin Siebert
156,who is the chief financial officer of the company which is both the u.s. borrower and the borrowers in the agreement,henk derksen,3,1,0,Henk Derksen
156,who is the vice president of the company which is both the u.s. borrower and the borrowers in the agreement,henk derksen,3,1,0,Henk Derksen
156,who is the chief financial officer of the company which is both the uk borrower and the borrowers in the agreement,henk derksen,3,1,0,Henk Derksen
156,who is the executive vice president and chief financial officer of the company which is both the uk borrower and the borrowers in the agreement,henk derksen,3,1,0,Not found
94,who is the executive director of the company which is both the lender and the swingline in the agreement,katsuyuki kubo,3,1,0,Not found
94,who is the director of the company which is both the lender and the swingline in the agreement,ben cumming,3,1,0,Ben Cumming
47,who is the vice president of the company which is both the co syndication agents and the lender in the agreement,bremmer kneib,3,1,0,Bremmer Kneib
47,"who is the managing director of the company which is both the administrative agent, and the lender in the agreement",kirk tesch,3,1,0,Kirk Tesch
85,who is the senior vice president of the company which is both the lender and the agent in the agreement,kenneth butler,3,1,0,Kenneth Butler
91,who is the senior vice president of the company which is both the lender and the lender in the agreement,thomas m. foncannon,3,1,0,Thomas M. Foncannon
147,who is the authorized signatory of the company which is both the lender and the l c issuer in the agreement,thomas manning,3,1,0,Dawn Lee Lum
147,who is the managing director of the company which is both the lender and the l c issuer in the agreement,raymond ventura,3,1,0,Raymond Ventura
153,who is the vice president of the company which is both the lender and the swingline in the agreement,colin murphy,3,1,0,Colin Murphy
46,who is the senior vice president of the company which is both the lender and the agent in the agreement,gregory r. russano,3,1,0,Gregory R. Russano
2,who is the duly authorized signatory of the company which is both the issuing and the lender in the agreement,paul isaac,3,1,0,Not found
2,"who is the managing director, svp of the company which is both the issuing and the lender in the agreement",mary ramsey,3,1,0,Not found
2,who is the authorized signatory of the company which is both the issuing and the lender in the agreement,michael borowiecki,3,1,0,Not found
151,who is the executive vice president of the company which is both the lender and the swing line in the agreement,raymond qiao,3,1,0,Raymond Qiao
151,who is the first vice president of the company which is both the lender and the swing line in the agreement,ola anderssen,3,1,0,Ola Anderssen
151,who is the senior vice president of the company which is both the lender and the swing line in the agreement,maria massimino,3,1,0,Maria Massimino
150,who is the vice president of the company which is both the administrative agent and the collateral agent in the agreement,raye goldsborough,3,1,0,Raye Goldsborough
3,who is the managing director of the company which is both the lender and the syndication agent in the agreement,anand j. jobanputra,3,1,0,Anand J. Jobanputra
3,who is the avp of the company which is both the administrative agent and the lender in the agreement,cindy jordan,3,1,0,Cindy Jordan
3,who is the vice president of the company which is both the administrative agent and the lender in the agreement,kyle pearson,3,1,0,Kyle Pearson
37,who is the director of the company which is both the lender and the swing line in the agreement,sandra cortes,3,1,0,Maria F. Maia
35,who is the treasurer of the company which is both the subsidiaries and the subsidiary in the agreement,eric s. fishman,3,1,0,Eric S. Fishman
35,"who is the associate director, of the company which is both the lender and the swingline in the agreement",hsing h. huang,3,1,0,Hsing H. Huang
35,who is the managing director capital markets of the company which is both the lender and the swingline in the agreement,steve aloupis,3,1,0,Steve Aloupis
134,who is the senior vice president of the company which is both the lender and the swingline in the agreement,janet chao,3,1,0,Not found
20,who is the director of the company which is both the administrative agent and the lender in the agreement,benjamin mlot,3,1,0,Benjamin Mlot
130,who is the svp commercial credit officer of the company which is both the lender and the issuing bank in the agreement,kevin couch,3,1,0,Kevin Couch
25,who is the svp of the company which is both the initial and the lender in the agreement,william p. mcloughlin,3,1,0,William P. McLoughlin
127,who is the authorized signer of the company which is both the lender and the swing line in the agreement,heather e. hoopingarner,3,1,0,Darren Merten
127,who is the assistant vice president of the company which is both the agent and the administrative in the agreement,taelitha bonds harris,3,1,0,Taelitha Bonds-Harris
32,who is the vice president of the company which is both the lender and the swingline in the agreement,muhammad hasan,3,1,0,Douglas Brandes
32,who is the executive of the company which is both the lender and the swingline in the agreement,o. lavitzson,3,1,0,O. Lavitzson
32,who is the senior vice president of the company which is both the lender and the swingline in the agreement,john cantalupo,3,1,0,John Cantalupo
32,who is the director corporate banking of the company which is both the lender and the swingline in the agreement,chris golding,3,1,0,Chris Golding
32,who is the managing director corporate coverage canada of the company which is both the lender and the swingline in the agreement,tony baratta,3,1,0,Tony Baratta
117,who is both the chief financial officer and executive vice president of the company which is the borrower in the agreement,jim a. swanson,3,1,0,Jim A. Swanson
16,who is both the chief executive officer and president of the company which is the borrower in the agreement,ian w. estus,3,1,0,Ian W. Estus
28,who is both the ceo and managing member of the company which is the lender in the agreement,pedro gonzalez de cosio,3,1,0,Pedro Gonzalez de Cosio
28,who is both the chief executive officer and president of the company which is the borrower in the agreement,joseph ciaffoni,3,1,0,Joseph Ciaffoni
100,who is both the chief financial officer and executive vice president of the company which is the borrower in the agreement,peter kuipers,3,1,0,Peter Kuipers
100,who is both the chief legal and administrative officer and vice president of the company which is the borrower in the agreement,dan johnston,3,1,0,Dan Johnston
11,"who is both the treasurer and vice president of the company which is the borrower, in the agreement",john j. tus,3,1,0,John J. Tus
10,who is both the chief financial officer and treasuruer of the company which is the borrower in the agreement,terence f. sullivan,3,1,0,Terence F. Sullivan
12,who is both the global treasurer and senior vice president of the company which is the borrower in the agreement,aidan clare,3,1,0,Aidan Clare
13,"who is both the chief financial officer and executive vice president of the company which is the borrower, in the agreement",tracy d. jackson,3,1,0,Tracy D. Jackson
60,who is both the senior vice president and treasurer of the company which is the holdings in the agreement,marc h. crown,3,1,0,Marc H. Crown
149,who is both the executive vice president and secretary of the company which is the borrower in the agreement,seth burroughs,3,1,0,Seth Burroughs
49,who is both the chief executive and chief executive officer of the company which is the guarantors in the agreement,michael buckley,3,1,0,"Michael Buckley is the Chief Executive of RGH GROUP LLC and MARCO BRUNELLI IP, LLC, and Peter Kim is the Chief Executive Officer of HUDSON CLOTHING HOLDINGS, INC. and HC ACQUISITION HOLDINGS, INC."
61,"who is both the treasurer and vice president, tax treasury of the company which is the borrower in the agreement",brian l. shytle,3,1,0,Brian L. Shytle
88,who is both the chief financial officer and president of the company which is the liability company in the agreement,r. scott turicchi,3,1,0,R. Scott Turicchi
162,who is both the corporate secretary and president of the company which is the guarantor in the agreement,mark d. andrews,3,1,0,Not found
162,who is both the president and secretary of the company which is the guarantor in the agreement,michael j. niedermaier,3,1,0,Michael J. Niedermaier
62,who is both the chief financial officer and senior vice president of the company which is the borrower in the agreement,gretchen l. holloway,3,1,0,Gretchen L. Holloway
72,who is both the treasurer and vice president of the company which is the initial borrower in the agreement,craig a. douglas,3,1,0,Craig A. Douglas
66,who is both the cfo and treasurer of the company which is the borrower in the agreement,brian m. bonnell,3,1,0,Brian M. Bonnell
99,who is both the chief manager and president of the company which is the guarantor in the agreement,nick flanagan,3,1,0,Nick Flanagan
99,who is both the president and treasurer of the company which is the guarantor in the agreement,doug couvillion,3,1,0,Doug Couvillion
