document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response
167,who is the vice president of the company which is the guarantors in the agreement,don r. madison,3,0,0,Not found
167,"who is the vice president, of the company which is the guarantors in the agreement",don r. madison,3,0,0,Not found
167,who is the secretary of the company which is the guarantors in the agreement,don r. madison,3,0,0,Not found
167,who is the treasurer of the company which is the guarantors in the agreement,don r. madison,3,0,0,Not found
167,who is the senior vice president of the company which is the administrative agent in the agreement,shelley a. mcgregor,3,0,0,Not found
167,who is the senior vice president of the company which is the c issuer in the agreement,shelley a. mcgregor,3,0,0,Not found
167,"who is the senior vice president of the company which is the lender, in the agreement",shelley a. mcgregor,3,0,0,Not found
167,who is the senior vice president of the company which is the swingline lender in the agreement,shelley a. mcgregor,3,0,0,Not found
166,who is the attorney and attorney in fact of novelis mea ltd,chirag shah,2,1,0,Not found
166,who is the attorney and authorized signatory of novelis mea ltd,chirag shah,2,1,0,Not found
166,who is the attorney and person authorized by virtue of power of attorney of novelis mea ltd,chirag shah,2,1,0,Not found
166,who is the attorney in fact and authorized signatory of novelis mea ltd,chirag shah,2,1,0,"Name: Chirag Shah
Title: Authorized Signatory"
166,who is the attorney in fact and person authorized by virtue of power of attorney of novelis mea ltd,chirag shah,2,1,0,Chirag Shah
166,who is the authorized signatory and person authorized by virtue of power of attorney of novelis mea ltd,chirag shah,2,1,0,Chirag Shah
166,"who is the sr. legal manager of the company associated with 3560 lenox road, suite 2000, atlanta, ga 30326",shannon curran,3,0,0,Not found
166,who is the chief manager of the company associated with dubai uae,sudip kumar ghatak,3,0,0,Not found
166,who is the chief executive of the company where sandeep patnaik is employed,rachit bhatia,3,0,0,Not found
166,who is the head cbo of the company where rachit bhatia is employed,sandeep patnaik,3,0,0,Not found
166,who is the senior rm trade export finance of the company where vikashh mehta is employed,nishant kumar,3,0,0,Nishant Kumar
166,who is the head corporate investment banking of the company where nishant kumar is employed,vikashh mehta,3,0,0,Not found
166,"who is the director, credit risk management of the company where richard cox is employed",lisa kwok,3,0,0,Not found
166,"who is the managing director, head of credit and trading risk of the company where lisa kwok is employed",richard cox,3,0,0,Not found
166,who is the managing director of the company where rajeev mohan is employed,dipak gupta,3,0,0,Not found
166,who is the senior executive vice president of the company where dipak gupta is employed,rajeev mohan,3,0,0,Not found
166,"who is the manager, crc of the company where valdeep singh is employed",james perkins,3,0,0,Not found
166,who is the head crc of the company where valdeep singh is employed,simon williams,3,0,0,Not found
166,who is the head crc of the company where james perkins is employed,simon williams,3,0,0,Not found
166,who is the legal counsel of the company where james perkins is employed,valdeep singh,3,0,0,Not found
166,"who is the manager, crc of the company where simon williams is employed",james perkins,3,0,0,Not found
166,who is the legal counsel of the company where simon williams is employed,valdeep singh,3,0,0,Not found
166,who is the head of loan syndications of the company which is the bookrunners in the agreement,carl roberts,3,0,0,Not found
166,who is the head of loan syndications of the company which is the lead arrangers in the agreement,carl roberts,3,0,0,Not found
166,who is the head of loan syndications of the company which is the lender in the agreement,carl roberts,3,0,0,Not found
166,who is the assistant vice presiden of the company which is the bookrunners in the agreement,mark pope,3,0,0,Not found
166,who is the assistant vice presiden of the company which is the lender in the agreement,mark pope,3,0,0,Not found
166,who is the director of the company which is the lender in the agreement,siddarth bansal,3,0,0,Not found
166,who is the assistant general manager of the company which is the lender in the agreement,sanjay jha,3,0,0,Not found
166,who is the attorney of the company which is the guarantor in the agreement,chirag shah,3,0,0,Not found
166,who is the attorney in fact of the company which is the guarantor in the agreement,chirag shah,3,0,0,Not found
166,who is the authorized signatory of the company which is the guarantor in the agreement,chirag shah,3,0,0,Not found
166,who is the person authorized by virtue of power of attorney of the company which is the guarantor in the agreement,chirag shah,3,0,0,Not found
166,who is the svp credit administration of the company which is the bookrunners in the agreement,r. srinivasa sekaran,3,0,0,Not found
166,who is the svp credit administration of the company which is the lender in the agreement,r. srinivasa sekaran,3,0,0,Not found
166,who is the general manager of the company which is the bookrunners in the agreement,suguru hattori,3,0,0,Not found
166,who is the general manager of the company which is the lender in the agreement,suguru hattori,3,0,0,Not found
166,who is the chief executive of the company which is the bookrunners in the agreement,rachit bhatia,3,0,0,Not found
166,who is the chief executive of the company which is the lead arrangers in the agreement,rachit bhatia,3,0,0,Not found
166,who is the chief executive of the company which is the lender in the agreement,rachit bhatia,3,0,0,Not found
166,who is the head cbo of the company which is the bookrunners in the agreement,sandeep patnaik,3,0,0,Not found
166,who is the head cbo of the company which is the lead arrangers in the agreement,sandeep patnaik,3,0,0,Not found
166,who is the head cbo of the company which is the lender in the agreement,sandeep patnaik,3,0,0,Not found
166,who is the chief manager of the company which is the bookrunners in the agreement,sudip kumar ghatak,3,0,0,Not found
166,who is the chief manager of the company which is the lead arrangers in the agreement,sudip kumar ghatak,3,0,0,Not found
166,who is the chief manager of the company which is the lender in the agreement,sudip kumar ghatak,3,0,0,Not found
166,who is the senior rm trade export finance of the company which is the lender in the agreement,nishant kumar,3,0,0,Not found
166,who is the head corporate investment banking of the company which is the lender in the agreement,vikashh mehta,3,0,0,Not found
166,"who is the director, credit risk management of the company which is the lender in the agreement",lisa kwok,3,0,0,Not found
166,"who is the managing director, head of credit and trading risk of the company which is the lender in the agreement",richard cox,3,0,0,Not found
166,who is the managing director of the company which is the bookrunners in the agreement,dipak gupta,3,0,0,Not found
166,who is the managing director of the company which is the lender in the agreement,dipak gupta,3,0,0,Not found
166,who is the senior executive vice president of the company which is the bookrunners in the agreement,rajeev mohan,3,0,0,Not found
166,who is the senior executive vice president of the company which is the lender in the agreement,rajeev mohan,3,0,0,Not found
166,who is the sr. legal manager of the company which is the guarantor in the agreement,shannon curran,3,0,0,Not found
166,"who is the manager, crc of the company which is the administrative agent in the agreement",james perkins,3,0,0,Not found
166,"who is the manager, crc of the company which is the bookrunners in the agreement",james perkins,3,0,0,Not found
166,"who is the manager, crc of the company which is the collateral agent in the agreement",james perkins,3,0,0,Not found
166,"who is the manager, crc of the company which is the lender in the agreement",james perkins,3,0,0,Not found
166,who is the head crc of the company which is the administrative agent in the agreement,simon williams,3,0,0,Not found
166,who is the head crc of the company which is the bookrunners in the agreement,simon williams,3,0,0,Not found
166,who is the head crc of the company which is the collateral agent in the agreement,simon williams,3,0,0,Not found
166,who is the head crc of the company which is the lender in the agreement,simon williams,3,0,0,Not found
166,who is the legal counsel of the company which is the administrative agent in the agreement,valdeep singh,3,0,0,Not found
166,who is the legal counsel of the company which is the bookrunners in the agreement,valdeep singh,3,0,0,Not found
166,who is the legal counsel of the company which is the collateral agent in the agreement,valdeep singh,3,0,0,Not found
166,who is the legal counsel of the company which is the lender in the agreement,valdeep singh,3,0,0,Not found
166,what role does icici bank limited have in the agreement which is not the role of barclays bank plc,lead arrangers,2,1,0,"ICICI BANK LIMITED is a Mandated Lead Arranger and Bookrunner, a role also held by BARCLAYS BANK PLC."
166,what role does icici bank limited have in the agreement which is not the role of state bank of india,lead arrangers,2,1,0,Mandated Lead Arrangers and Bookrunners
166,"what role does icici bank limited have in the agreement which is not the role of the bank of tokyo mitsubishi ufj, ltd.",lead arrangers,2,1,0,Mandated Lead Arranger and Bookrunner
166,what role does icici bank limited have in the agreement which is not the role of kotak mahindra bank limited,lead arrangers,2,1,0,"ICICI BANK LIMITED is a Mandated Lead Arranger and Bookrunner, while KOTAK MAHINDRA BANK LIMITED is not."
166,what role does icici bank limited have in the agreement which is not the role of standard chartered bank,lead arrangers,2,1,0,"ICICI Bank Limited is a Mandated Lead Arranger and Bookrunner, while Standard Chartered Bank is the Administrative Agent and Collateral Agent."
166,what role does australia and new zealand banking group limited have in the agreement which is not the role of barclays bank plc,lead arrangers,2,1,0,Mandated Lead Arrangers and Bookrunners
166,what role does australia and new zealand banking group limited have in the agreement which is not the role of state bank of india,lead arrangers,2,1,0,Mandated Lead Arrangers and Bookrunners
166,"what role does australia and new zealand banking group limited have in the agreement which is not the role of the bank of tokyo mitsubishi ufj, ltd.",lead arrangers,2,1,0,Mandated Lead Arrangers and Bookrunners
166,what role does australia and new zealand banking group limited have in the agreement which is not the role of kotak mahindra bank limited,lead arrangers,2,1,0,Mandated Lead Arrangers and Bookrunners
166,what role does australia and new zealand banking group limited have in the agreement which is not the role of standard chartered bank,lead arrangers,2,1,0,Mandated Lead Arrangers and Bookrunners
166,what role does axis bank limited have in the agreement which is not the role of kotak mahindra bank limited,lead arrangers,2,1,0,Mandated Lead Arranger and Bookrunner
166,what role does axis bank limited have in the agreement which is not the role of standard chartered bank,lead arrangers,2,1,0,Mandated Lead Arranger and Bookrunner
166,what role does bank of baroda have in the agreement which is not the role of kotak mahindra bank limited,lead arrangers,2,1,0,Mandated Lead Arrangers and Bookrunners
166,what role does bank of baroda have in the agreement which is not the role of standard chartered bank,lead arrangers,2,1,0,Not found
166,what company is the lead arrangers but not the lender in the agreement,icici bank limited,2,1,0,Not found
166,what is the address of corporate office of the company which is the holdings in the agreement,"usa, atlanta, ga 30326, suite 2000, 3560 lenox road, two alliance center",3,0,0,Not found
166,what is the address of corporate office of the company which is the borrower in the agreement,"usa, atlanta, ga 30326, suite 2000, 3560 lenox road, two alliance center",3,0,0,Not found
166,what is the address of zonal office of the company which is the bookrunners in the agreement,dubai uae,3,0,0,Not found
166,what is the address of zonal office of the company which is the lead arrangers in the agreement,dubai uae,3,0,0,Not found
166,what is the address of zonal office of the company which is the lender in the agreement,dubai uae,3,0,0,Not found
166,what is the address of zonal office of the company where sudip kumar ghatak is employed,dubai uae,3,0,0,Not found
164,who is the loan manager of the company which is the lender in the agreement,richard winesburg,3,0,0,Not found
164,who is the relationship manager of the company which is the lender in the agreement,richard c. griffin jr.,3,0,0,Not found
164,who is the director of the company which is the lender in the agreement,hideo core,3,0,0,Not found
164,who is the cfo of the company which is the the lenders in the agreement,kevin williams,3,0,0,Not found
164,who is the officer of the company which is the lender in the agreement,tyler tirpak,3,0,0,Not found
164,who is the officer of the company which is the syndication agents in the agreement,tyler tirpak,3,0,0,Not found
170,who is the treasurer and vice president of starbucks corporation,richard lautch,2,1,0,Richard Lautch
170,who is the executive director of the company which is the swing line lender in the agreement,gillian dickson,3,0,0,Not found
170,who is the treasurer of the company which is the borrower in the agreement,richard lautch,3,0,0,Not found
170,who is the vice president of the company which is the borrower in the agreement,richard lautch,3,0,0,Not found
170,who is the assistant vice president of the company which is the administrative agent in the agreement,mark d. rodgers,3,0,0,Not found
170,who is the assistant vice president of the company which is the co documentation agent in the agreement,mark d. rodgers,3,0,0,Not found
170,who is the assistant vice president of the company which is the co syndication agent in the agreement,mark d. rodgers,3,0,0,Not found
170,who is the assistant vice president of the company which is the swing line lender in the agreement,mark d. rodgers,3,0,0,Not found
170,"what role does bank of america, n.a. have in the agreement which is not the role of jpmorgan chase bank, n.a.",c issuer,2,1,0,Not found
158,who is the svp of the company which is the lender in the agreement,adam rose,3,0,0,Adam Rose
159,who is the authorized signatory of the company which is the administrative agent in the agreement,james greenfield,3,0,0,Not found
159,who is the authorized signatory of the company which is the lender in the agreement,james greenfield,3,0,0,Not found
159,who is the chief accounting officer of the company which is the portfolio manager in the agreement,cory e. gilbert,3,0,0,Not found
159,who is the vice president of the company which is the collateral administrator in the agreement,jon c. warn,3,0,0,Not found
159,who is the vice president of the company which is the collateral agent in the agreement,jon c. warn,3,0,0,Not found
159,who is the vice president of the company which is the securities intermediary in the agreement,jon c. warn,3,0,0,Not found
165,"who is the corporate secretary and general counsel of conagra brands, inc",colleen batcheler,2,1,0,Not found
165,"who is the investor relations officer and treasurer of conagra brands, inc",johan nystedt,2,1,0,Not found
165,"who is the investor relations officer and vice president of conagra brands, inc",johan nystedt,2,1,0,Not found
165,"who is the treasurer and vice president of conagra brands, inc",johan nystedt,2,1,0,Not found
165,"who is the corporate secretary of the company associated with 222 merchandise mart plaza, suite 1300chicago, il 60654",colleen batcheler,3,0,0,Not found
165,"who is the general counsel of the company associated with 222 merchandise mart plaza, suite 1300chicago, il 60654",colleen batcheler,3,0,0,Not found
165,"who is the investor relations officer of the company associated with 222 merchandise mart plaza, suite 1300chicago, il 60654",johan nystedt,3,0,0,Not found
165,"who is the treasurer of the company associated with 222 merchandise mart plaza, suite 1300chicago, il 60654",johan nystedt,3,0,0,Not found
165,"who is the vice president of the company associated with 222 merchandise mart plaza, suite 1300chicago, il 60654",johan nystedt,3,0,0,Not found
165,who is the investor relations officer of the company where colleen batcheler is employed,johan nystedt,3,0,0,Not found
165,who is the treasurer of the company where colleen batcheler is employed,johan nystedt,3,0,0,Not found
165,who is the vice president of the company where colleen batcheler is employed,johan nystedt,3,0,0,Not found
165,who is the corporate secretary of the company where johan nystedt is employed,colleen batcheler,3,0,0,Not found
165,who is the general counsel of the company where johan nystedt is employed,colleen batcheler,3,0,0,Not found
165,who is the managing director of the company where bridgett j. manduk mowry is employed,peter duncan,3,0,0,Not found
165,who is the managing director of the company where ryan zimmerman is employed,peter duncan,3,0,0,Not found
165,who is the managing director of the company where brigitte m. sinclair is employed,peter duncan,3,0,0,Not found
165,who is the managing director of the company where pacella lehane is employed,peter duncan,3,0,0,Not found
165,who is the assistant vice president of the company which is the lender in the agreement,christopher aitkin,3,0,0,Not found
165,who is the senior vice president of the company which is the lender in the agreement,fik durmus,3,0,0,Not found
165,who is the executive director of the company which is the lender in the agreement,tony young,3,0,0,Not found
165,who is the executive director of the company which is the syndication agent in the agreement,tony young,3,0,0,Not found
165,who is the corporate secretary of the company which is the company in the agreement,colleen batcheler,3,0,0,Not found
165,who is the corporate secretary of the company which is the lenders in the agreement,colleen batcheler,3,0,0,Not found
165,who is the general counsel of the company which is the company in the agreement,colleen batcheler,3,0,0,Not found
165,who is the general counsel of the company which is the lenders in the agreement,colleen batcheler,3,0,0,Not found
165,who is the investor relations officer of the company which is the company in the agreement,johan nystedt,3,0,0,Not found
165,who is the investor relations officer of the company which is the lenders in the agreement,johan nystedt,3,0,0,Not found
165,who is the treasurer of the company which is the company in the agreement,johan nystedt,3,0,0,Not found
165,who is the treasurer of the company which is the lenders in the agreement,johan nystedt,3,0,0,Not found
165,who is the vice president of the company which is the company in the agreement,johan nystedt,3,0,0,Not found
165,who is the vice president of the company which is the lenders in the agreement,johan nystedt,3,0,0,Not found
165,who is the managing director of the company which is the lender in the agreement,peter duncan,3,0,0,Not found
165,"what role does bank of america, n.a have in the agreement which is not the role of goldman sachs bank usa",administrative agent,2,1,0,Individually and as Administrative Agent.
165,"what role does bank of america, n.a have in the agreement which is not the role of the bank of tokyo mitsubishi ufj, ltd",administrative agent,2,1,0,Administrative Agent
165,"what role does bank of america, n.a have in the agreement which is not the role of wells fargo bank, national association",administrative agent,2,1,0,Administrative Agent
165,"what role does bank of america, n.a have in the agreement which is not the role of jpmorgan chase bank, n.a",administrative agent,2,1,0,Administrative Agent
165,"what role does goldman sachs bank usa have in the agreement which is not the role of mizuho bank, ltd",lender,2,1,0,Not found
165,"what role does goldman sachs bank usa have in the agreement which is not the role of jpmorgan chase bank, n.a",documentation agents,2,1,0,Not found
165,"what role does mizuho bank, ltd have in the agreement which is not the role of the bank of tokyo mitsubishi ufj, ltd",bookrunners,2,1,0,Not found
165,"what role does mizuho bank, ltd have in the agreement which is not the role of wells fargo bank, national association",bookrunners,2,1,0,Not found
165,"what role does the bank of tokyo mitsubishi ufj, ltd have in the agreement which is not the role of jpmorgan chase bank, n.a",documentation agents,2,1,0,Not found
165,"what role does wells fargo bank, national association have in the agreement which is not the role of jpmorgan chase bank, n.a",documentation agents,2,1,0,Not found
165,what is the address of agency management of the company which is the administrative agent in the agreement,"ca 94104, 4th floorsan francisco, mail code ca5 705 04 09555 california street",3,0,0,Not found
168,"who is the treasurer and vice president of stanley black decker, inc.",robert t. paternostro,2,1,0,Not found
168,"who is the treasurer of the company associated with 1000 stanley drivenew britain, connecticut 06053",robert t. paternostro,3,0,0,Not found
168,"who is the vice president of the company associated with 1000 stanley drivenew britain, connecticut 06053",robert t. paternostro,3,0,0,Robert.Paternostro
168,"who is the vice president of the company associated with building ops ii, one penns waynew castle, de 19720",carolyn a. kee,3,0,0,Not found
168,who is the director of the company which is the lender in the agreement,michael contreras,3,0,0,Not found
168,who is the director of the company which is the syndication agent in the agreement,michael contreras,3,0,0,Not found
168,who is the treasurer of the company which is the borrower in the agreement,robert t. paternostro,3,0,0,Not found
168,who is the vice president of the company which is the borrower in the agreement,robert t. paternostro,3,0,0,Not found
168,who is the vice president of the company which is the administrative agent in the agreement,carolyn a. kee,3,0,0,Not found
168,who is the vice president of the company which is the lender in the agreement,carolyn a. kee,3,0,0,Not found
168,what company is the book runners but not the administrative agent in the agreement,"inc., bofa securities",2,1,0,Not found
168,what company is the lead arrangers but not the administrative agent in the agreement,"inc., bofa securities",2,1,0,Not found
140,who is the authorized signatory and director of wwtai airopco malta ltd.,demetrios tserpelis,2,1,0,Tony Traynor
140,who is the authorized signatory of the company where sean mckinley is employed,demetrios tserpelis,3,0,0,Not found
140,who is the authorized signatory of the company where tony traynor is employed,demetrios tserpelis,3,0,0,Not found
140,who is the ceo of the company which is the holdings in the agreement,joseph p. adams jr.,3,0,0,Not found
140,who is the authorized signatory of the company which is the administrative agent in the agreement,william graham,3,0,0,Not found
140,who is the authorized signatory of the company which is the arranger in the agreement,william graham,3,0,0,Not found
140,who is the authorized signatory of the company which is the lender in the agreement,william graham,3,0,0,Not found
154,"who is the authorized officer of the company associated with 10 south dearborn, floor l2suite il1 1145chicago, il, 60603 2300",erica cross,3,0,0,Not found
154,"who is the authorized officer of the company associated with 4 new york plaza, floor 17new york, ny 10004",erica cross,3,0,0,Not found
154,who is the authorized officer of the company where tischar n luckett is employed,erica cross,3,0,0,Not found
154,who is the chief financial officer of the company which is the guarantor in the agreement,liyuan woo,3,0,0,Not found
154,who is the authorized officer of the company which is the bookrunner in the agreement,erica cross,3,0,0,Not found
154,who is the authorized officer of the company which is the administrative agent lender in the agreement,erica cross,3,0,0,Not found
154,who is the authorized officer of the company which is the issuing bank lender in the agreement,erica cross,3,0,0,Not found
154,who is the authorized officer of the company which is the lead arranger in the agreement,erica cross,3,0,0,Not found
154,what is the address of middle market servicing of the company where tischar n luckett is employed,"il, 60603 2300, 10 south dearborn",3,0,0,Not found
154,what is the address of middle market servicing of the company where erica cross is employed,"il, 60603 2300, 10 south dearborn",3,0,0,Not found
154,what is the address of commercial banking of the company where tischar n luckett is employed,"ny 10004, 4 new york plaza, floor 17new york",3,0,0,Not found
154,what is the address of commercial banking of the company where erica cross is employed,"ny 10004, 4 new york plaza, floor 17new york",3,0,0,Not found
155,who is the chief executive officer and directors of boxlight corporation,michael pope,2,1,0,Not found
155,who is the chief financial officer and director of sahara holdings limited,patrick foley,2,1,0,Not found
155,who is the chief financial officer and statutory director of sahara holdings limited,patrick foley,2,1,0,Not found
155,who is the chief financial officer and directors of sahara holdings limited,patrick foley,2,1,0,Not found
155,who is the director and statutory director of sahara holdings limited,patrick foley,2,1,0,Not found
155,who is the director and directors of sahara holdings limited,patrick foley,2,1,0,Not found
155,who is the statutory director and directors of sahara holdings limited,patrick foley,2,1,0,Not found
155,who is the chief executive officer and directors of sahara holdings limited,michael pope,2,1,0,Not found
