document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,multiple_answers,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
116,what is the role in the agreement of the company where venugopal rathi is employed,the company,2,0,0.0,Company,,0.6666666666666666,0.36363636363636365,0.5797386715376658,4
116,what is the role in the agreement of the company associated with morgan stanley direct lending fund,the company,2,0,0.0,Not found,,0.0,0.7272727272727273,0.0,1
117,what position does chris burns hold,senior vice president,1,0,,Senior Vice President,,1.0,0.0,1.0000000000000002,5
117,what position does dawn mace moore hold,senior vice president,1,0,,Senior Vice President,,1.0,0.0,1.0000000000000002,5
117,what position does kirsten jakobsen hold,vice president,1,0,,Vice President,,1.0,0.0,1.0000000000000002,5
117,what position does lynn braun hold,executive director,1,0,,Executive Director,,1.0,0.0,1.0000000000000002,5
117,what position does michael snook hold,senior vice president,1,0,,Senior Vice President,,1.0,0.0,1.0000000000000002,5
117,"who is the chief financial officer of columbia sportswear company,",jim a. swanson,2,0,0.0,Jim A. Swanson,,1.0,0.0,1.0000000000000002,5
117,"who is the executive vice president of columbia sportswear company,",jim a. swanson,2,0,0.0,Jim A. Swanson,,1.0,0.0,1.0000000000000002,5
117,"who is the executive director of jpmorgan chase bank, n.a.",lynn braun,2,0,0.0,Lynn Braun,,1.0,0.0,1.0000000000000002,5
117,who is the vice president of royal bank of canada,kirsten jakobsen,2,0,0.0,Kirsten Jakobsen,,1.0,0.0,1.0000000000000002,5
117,what is the role in the agreement of the company where jim a. swanson is employed,borrower,2,0,0.0,Executive Vice President and Chief Financial Officer,,0.0,0.9230769230769231,0.0,1
117,what is the role in the agreement of the company where kirsten jakobsen is employed,lender,2,0,0.0,Vice President,,0.0,0.7857142857142857,0.0,1
117,what is the role in the agreement of the company where chris burns is employed,lender,2,0,0.0,Senior Vice President,,0.0,0.8095238095238095,0.0,1
117,what is the role in the agreement of the company where dawn mace moore is employed,lender,2,0,0.0,Senior Vice President,,0.0,0.8095238095238095,0.0,1
117,what is the role in the agreement of the company where michael snook is employed,lender,2,0,0.0,Senior Vice President,,0.0,0.8095238095238095,0.0,1
117,"what is the role in the agreement of the company associated with bofa securities, inc.",bookrunner,2,0,0.0,Joint Lead Arrangers and Joint Bookrunners,,0.0,0.7619047619047619,0.0,4
117,what is the role in the agreement of the company associated with columbia sportswear company,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
117,"what is the role in the agreement of the company associated with wells fargo securities, llc",arranger,2,0,0.0,Joint Lead Arrangers and Joint Bookrunners,,0.0,0.8095238095238095,0.0,1
117,"what is the role in the agreement of the company associated with columbia sportswear company,",borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
117,what is the role in the agreement of the company associated with royal bank of canada,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
117,"what is the role in the agreement of the company associated with hsbc bank usa, national association",lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
103,what position does gavin baiera hold,authorized signatory,1,0,,Authorized Signatory,,1.0,0.0,1.0000000000000002,5
103,what position does matthew trybula hold,associate counsel,1,0,,Associate Counsel,,1.0,0.0,1.0000000000000002,5
103,what position does paul a. barker hold,manager,1,0,,Manager,,1.0,0.0,1.0,5
103,what position does scott huckins hold,director,1,0,,Director,,1.0,0.0,1.0,5
103,what position does stephen sernett hold,director,1,0,,Director,,1.0,0.0,1.0,5
103,what position does stuart brown hold,director,1,0,,Director,,1.0,0.0,1.0,5
103,"who is the authorized signatory of angelo, gordon co., l.p.",gavin baiera,2,0,0.0,Gavin Baiera,,1.0,0.0,1.0000000000000002,5
103,who is the manager of claire s luxembourg s.a r.l.,paul a. barker,2,0,0.0,Paul A. Barker,,1.0,0.0,1.0000000000000002,5
103,who is the associate counsel of cortland capital market services llc,matthew trybula,2,0,0.0,Matthew Trybula,,1.0,0.0,1.0000000000000002,5
103,what is the role in the agreement of the company where matthew trybula is employed,agent,2,0,0.0,Collateral Agent,,0.6666666666666666,0.6875,0.5797386715376658,3
103,what is the role in the agreement of the company where stephen sernett is employed,guarantor,2,0,0.0,Director,,0.0,0.5555555555555556,0.0,1
103,what is the role in the agreement of the company where stuart brown is employed,guarantor,2,0,0.0,Director,,0.0,0.5555555555555556,0.0,1
103,what is the role in the agreement of the company where scott huckins is employed,guarantor,2,0,0.0,Director,,0.0,0.5555555555555556,0.0,1
103,what is the role in the agreement of the company associated with claire s gibraltar intermediate holdings limited,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
103,"what is the role in the agreement of the company associated with claire s accessories spain, s.l.",guarantor,2,0,0.0,Signatory,,0.0,0.6666666666666666,0.0,2
103,what is the role in the agreement of the company associated with claire s accessories uk ltd,guarantor,2,0,0.0,Signatory,,0.0,0.6666666666666666,0.0,2
103,what is the role in the agreement of the company associated with claire s european distribution limited,guarantor,2,0,0.0,Signatory,,0.0,0.6666666666666666,0.0,2
103,what is the role in the agreement of the company associated with claire s european services limited,guarantor,2,0,0.0,Signatory,,0.0,0.6666666666666666,0.0,2
103,what is the role in the agreement of the company associated with claire s france s.a.s.,guarantor,2,0,0.0,Signatory,,0.0,0.6666666666666666,0.0,2
103,what is the role in the agreement of the company associated with claire s germany gmbh,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
103,what is the role in the agreement of the company associated with claire s holdings s.a. r.l.,guarantor,2,0,0.0,Signatory,,0.0,0.6666666666666666,0.0,2
103,what is the role in the agreement of the company associated with claire s holding gmbh,guarantor,2,0,0.0,Signatory,,0.0,0.6666666666666666,0.0,2
103,what is the role in the agreement of the company associated with claire s luxembourg s.a. r.l.,guarantor,2,0,0.0,Signatory,,0.0,0.6666666666666666,0.0,2
103,what is the role in the agreement of the company associated with claire s switzerland gmbh,guarantor,2,0,0.0,Signatory,,0.0,0.6666666666666666,0.0,2
103,what is the role in the agreement of the company associated with csi luxembourg s.a. r.l.,guarantor,2,0,0.0,Signatory,,0.0,0.6666666666666666,0.0,2
103,"what is the role in the agreement of the company associated with botticelli llcc o angelo, gordon co., lp",administrative agent,2,0,0.0,Administrative Agent and Lender,,0.6666666666666666,0.3548387096774194,0.5797386715376658,4
103,what is the role in the agreement of the company associated with cortland capital market services llc,agent,2,0,0.0,Collateral Agent,,0.6666666666666666,0.6875,0.5797386715376658,1
103,what is the role in the agreement of the company associated with claire s gibraltar holdings limited,borrowers,2,0,0.0,"Subsidiary of Claire’s Stores, Inc.",,0.0,0.8181818181818182,0.0,1
103,what is the role in the agreement of the company associated with cortland capital market services llc,collateral agent,2,0,0.0,Collateral Agent,,1.0,0.0,1.0000000000000002,5
103,what is the role in the agreement of the company associated with claire s fashion property corp.,guarantor,2,0,0.0,Signatory,,0.0,0.6666666666666666,0.0,2
16,who is the senior managing directo of crystal financial llc,christopher a. arnold,2,0,0.0,Christopher A. Arnold,,1.0,0.0,1.0000000000000002,5
16,who is the senior managing director of crystal financial llc,christopher a. arnold,2,0,0.0,Christopher A. Arnold,,1.0,0.0,1.0000000000000002,5
16,who is the chief executive officer of standard diversified opportunities inc.,ian w. estus,2,0,0.0,Ian W. Estus,,1.0,0.0,1.0000000000000002,5
16,who is the president of standard diversified opportunities inc.,ian w. estus,2,0,0.0,Ian W. Estus,,1.0,0.0,1.0000000000000002,5
16,what is the role in the agreement of the company where ian w. estus is employed,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
16,what is the role in the agreement of the company associated with crystal financial spv llc,lender,2,0,0.0,Term Lender,,0.6666666666666666,0.45454545454545453,0.5797386715376658,4
16,what is the role in the agreement of the company associated with standard outdoor llc,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
16,what is the role in the agreement of the company associated with standard outdoor southeast ii llc,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
16,what is the role in the agreement of the company associated with standard outdoor southeast i llc,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
16,what is the role in the agreement of the company associated with standard outdoor southwest llc,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
16,what is the role in the agreement of the company associated with standard diversified opportunities inc.,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
14,what position does james harris hold,chief financial officer,1,0,,Chief Financial Officer,,1.0,0.0,1.0000000000000002,5
14,what position does todd dittmann hold,authorized person,1,0,,Authorized Person,,1.0,0.0,1.0000000000000002,5
14,"who is the authorized person of ag energy funding, llc",todd dittmann,2,0,0.0,Todd Dittmann,,1.0,0.0,1.0000000000000002,5
14,"who is the chief financial officer of pacific drilling s.a.,",james harris,2,0,0.0,James Harris,,1.0,0.0,1.0000000000000002,5
14,what is the role in the agreement of the company where todd dittmann is employed,lender,2,0,0.0,Authorized Person,,0.0,0.8235294117647058,0.0,1
14,what is the role in the agreement of the company where james harris is employed,borrower,2,0,0.0,Chief Financial Officer,,0.0,0.8695652173913043,0.0,1
14,"what is the role in the agreement of the company associated with angelo, gordon energy servicer,llc,",administrative agent,2,0,0.0,Administrative Agent,,1.0,0.0,1.0000000000000002,5
14,"what is the role in the agreement of the company associated with ag energy funding, llc",lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
14,"what is the role in the agreement of the company associated with pacific drilling s.a.,",borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
28,what company is both the additional credit party and the credit party in the agreement,collegium securities corporation,1,1,0.0,"Collegium Securities Corporation, Collegium Pharmaceutical, Inc.",,0.7499999999999999,0.47540983606557374,0.7321049202512239,5
28,"who is the chief executive officer of collegium pharmaceutical, inc.",joseph ciaffoni,2,0,0.0,Joseph Ciaffoni,,1.0,0.0,1.0000000000000002,5
28,"who is the president of collegium pharmaceutical, inc.",joseph ciaffoni,2,0,0.0,Joseph Ciaffoni,,1.0,0.0,1.0000000000000002,5
28,who is the ceo of biopharma credit investments v master lp,pedro gonzalez de cosio,2,0,0.0,Pedro Gonzalez de Cosio,,1.0,0.0,1.0,5
28,who is the managing member of biopharma credit investments v master lp,pedro gonzalez de cosio,2,0,0.0,Pedro Gonzalez de Cosio,,1.0,0.0,1.0,5
28,who is the ceo of pharmakon advisors lp,pedro gonzalez de cosio,2,0,0.0,Pedro Gonzalez de Cosio,,1.0,0.0,1.0,5
28,who is the managing member of pharmakon advisors lp,pedro gonzalez de cosio,2,0,0.0,Pedro Gonzalez de Cosio,,1.0,0.0,1.0,5
28,what is the role in the agreement of the company where pedro gonzalez de cosio is employed,lender,2,0,0.0,Investment Manager for BioPharma Credit PLC and BioPharma Credit Investments V (Master) LP,,0.0,0.9444444444444444,0.0,1
28,what is the role in the agreement of the company where joseph ciaffoni is employed,borrower,2,0,0.0,"President and Chief Executive Officer of Collegium Pharmaceutical, Inc.",,0.0,0.927536231884058,0.0,1
28,what is the role in the agreement of the company where geoffrey e. secol is employed,lender,2,0,0.0,Counsel for BioPharma Credit PLC and BioPharma Credit Investments V (Master) LP,,0.0,0.9240506329113924,0.0,1
28,what is the role in the agreement of the company where jen porter is employed,borrower,2,0,0.0,Counsel to all of the Credit Parties,,0.0,0.8888888888888888,0.0,1
28,what is the role in the agreement of the company where shirley kuhlmann is employed,borrower,2,0,0.0,Not found,,0.0,0.7777777777777778,0.0,1
28,what is the role in the agreement of the company where paul brannelly is employed,borrower,2,0,0.0,Not found,,0.0,0.7777777777777778,0.0,1
28,"what is the role in the agreement of the company associated with collegium pharmaceutical, inc",borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
28,what is the role in the agreement of the company associated with biopharma credit investments v master lp,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
28,what is the role in the agreement of the company associated with collegium pharmaceutical inc.,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
28,what is the role in the agreement of the company associated with collegium securities corporation,credit party,2,0,0.0,Additional Credit Party,,0.8,0.4782608695652174,0.7092972666062739,4
28,"what is the role in the agreement of the company associated with pharmakon advisors, lp",investment manager,2,0,0.0,Investment Manager for BioPharma Credit PLC and BioPharma Credit Investments V (Master) LP,,0.3076923076923077,0.8,0.25969799324016246,4
28,"what is the role in the agreement of the company associated with pharmakon management i, llc",partner,2,0,0.0,"General Partner of Pharmakon Advisors, LP",,0.2857142857142857,0.825,0.3032160644503863,1
28,what is the role in the agreement of the company associated with biopharma credit plc,agent,2,0,0.0,Collateral Agent and Lender,,0.4,0.8148148148148148,0.37997836159100784,1
28,"what is the role in the agreement of the company associated with collegium pharmaceutical, inc.",borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
28,what is the role in the agreement of the company associated with akin gump strauss hauer feld llp,agent,2,0,0.0,Counsel for BioPharma Credit PLC and BioPharma Credit Investments V (Master) LP,,0.0,0.9493670886075949,0.0,1
28,what is the role in the agreement of the company associated with pepper hamilton llp,borrower,2,0,0.0,Counsel to all of the Credit Parties,,0.0,0.8888888888888888,0.0,1
28,what is the role in the agreement of the company associated with pharmakon advisors lp,agent,2,0,0.0,Investment Manager for BioPharma Credit PLC and BioPharma Credit Investments V (Master) LP,,0.0,0.9444444444444444,0.0,1
28,what is the role in the agreement of the company associated with akin gump strauss hauer feld llp,lender,2,0,0.0,Counsel for BioPharma Credit PLC and BioPharma Credit Investments V (Master) LP,,0.0,0.9240506329113924,0.0,1
28,what is the role in the agreement of the company associated with pharmakon advisors lp,lender,2,0,0.0,Investment Manager for BioPharma Credit PLC and BioPharma Credit Investments V (Master) LP,,0.0,0.9444444444444444,0.0,1
129,what position does elizabeth a. jordan hold,authorized officer,1,0,,Authorized Officer,,1.0,0.0,1.0000000000000002,5
129,"who is the authorized officer of jpmorgan chase bank, n.a.",elizabeth a. jordan,2,0,0.0,Elizabeth A. Jordan,,1.0,0.0,1.0000000000000002,5
129,who is the chief financial officer of ghm acquisition corp.,jeffrey glajch,2,0,0.0,Jeffrey Glajch,,1.0,0.0,1.0000000000000002,5
129,who is the secretary of ghm acquisition corp.,jeffrey glajch,2,0,0.0,Jeffrey Glajch,,1.0,0.0,1.0000000000000002,5
129,what is the role in the agreement of the company associated with graham corporation,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
115,what position does adam rose hold,senior vice president,1,0,,Senior Vice President,,1.0,0.0,1.0000000000000002,5
115,"who is the senior vice president of bank of america, n.a.",adam rose,2,0,0.0,Adam Rose,,1.0,0.0,1.0000000000000002,5
115,"who is the chief legal officer of horizon distributors, inc.",jennifer m. neil,2,0,0.0,Jennifer M. Neil,,1.0,0.0,1.0000000000000002,5
115,"who is the secretary of horizon distributors, inc.",jennifer m. neil,2,0,0.0,Not found,,0.0,0.8666666666666667,0.0,1
115,"who is the vice president of horizon distributors, inc.",jennifer m. neil,2,0,0.0,Not found,,0.0,0.8666666666666667,0.0,1
115,who is the assistant secretary of pool corporation,melanie housey hart,2,0,0.0,Not found,,0.0,0.7894736842105263,0.0,1
115,who is the chief accounting officer of pool corporation,melanie housey hart,2,0,0.0,Not found,,0.0,0.7894736842105263,0.0,1
115,who is the president of pool corporation,melanie housey hart,2,0,0.0,Not found,,0.0,0.7894736842105263,0.0,1
115,who is the treasurer of pool corporation,melanie housey hart,2,0,0.0,Not found,,0.0,0.7894736842105263,0.0,1
115,who is the chief legal officer of pool corporation,jennifer m. neil,2,0,0.0,Jennifer M. Neil,,1.0,0.0,1.0000000000000002,5
115,who is the vice president of pool corporation,jennifer m. neil,2,0,0.0,Jennifer M. Neil,,1.0,0.0,1.0000000000000002,5
115,what is the role in the agreement of the company where adam rose is employed,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
115,what is the role in the agreement of the company where jennifer m. neil is employed,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
115,what is the role in the agreement of the company where melanie housey hart is employed,borrower,2,0,0.0,Not found,,0.0,0.7777777777777778,0.0,1
115,"what is the role in the agreement of the company associated with alliance trading, inc.",guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
115,"what is the role in the agreement of the company associated with cypress, inc.",guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
115,what is the role in the agreement of the company associated with poolfx supply llc,guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
115,what is the role in the agreement of the company associated with pool development llc,guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
115,what is the role in the agreement of the company associated with scp distributors llc,guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
115,"what is the role in the agreement of the company associated with scp international, inc.",guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
115,"what is the role in the agreement of the company associated with splash holdings, inc.",guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
115,what is the role in the agreement of the company associated with superior pool products llc,guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
115,"what is the role in the agreement of the company associated with bank of america, n.a.",lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
115,"what is the role in the agreement of the company associated with horizon distributors, inc.",guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
115,what is the role in the agreement of the company associated with pool corporation,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
101,what position does deborah t. purvin hold,senior vice president,1,0,,Senior Vice President,,1.0,0.0,1.0000000000000002,5
101,what position does spencer sockwell hold,corporate healthcare banking manager,1,0,,Corporate Healthcare Banking  Manager,,0.888888888888889,0.05263157894736842,1.0,5
101,what position does stanton m. nelson hold,ceo,1,0,,CEO,,1.0,0.0,1.0,5
101,"who is the ceo of foundation healthcare, inc.",stanton m. nelson,2,0,0.0,Stanton M. Nelson,,1.0,0.0,1.0000000000000002,5
101,who is the corporate healthcare banking manager of legacytexas bank,spencer sockwell,2,0,0.0,Spencer Sockwell,,1.0,0.0,1.0000000000000002,5
101,"who is the senior vice president of texas capital bank, national association",deborah t. purvin,2,0,0.0,Deborah T. Purvin,,1.0,0.0,1.0000000000000002,5
101,what is the role in the agreement of the company where spencer sockwell is employed,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
101,what is the role in the agreement of the company associated with legacytexas bank,lender,2,0,0.0,Not found,,0.0,1.0,0.0,1
100,what position does christopher m. ames hold,"svp, global relationship manager",1,0,,"SVP, Global Relationship Manager",,1.0,0.0,1.0,5
100,what position does mark strzynski hold,vice president,1,0,,Vice President,,1.0,0.0,1.0000000000000002,5
100,what position does marshall trenckmann hold,executive director,1,0,,Executive Director,,1.0,0.0,1.0000000000000002,5
100,what position does min park hold,vice president,1,0,,Vice President,,1.0,0.0,1.0000000000000002,5
100,what position does tyler j. mei hold,senior vice president,1,0,,Senior Vice President,,1.0,0.0,1.0000000000000002,5
100,what position does alexis coyle hold,managing director,1,0,,Managing Director,,1.0,0.0,1.0000000000000002,5
100,what position does darran wee hold,senior vice president,1,0,,Senior Vice President,,1.0,0.0,1.0000000000000002,5
100,what position does lee merkle raymond hold,managing director,1,0,,Managing Director,,1.0,0.0,1.0000000000000002,5
100,what position does sony ben moshe hold,esq.,1,0,,Esq.,,1.0,0.0,1.0,5
100,what position does teuta ghilaga hold,director,1,0,,Director,,1.0,0.0,1.0,5
100,what position does thomas avery hold,relationship manager,1,0,,Relationship Manager,,1.0,0.0,1.0000000000000002,5
100,"who is the senior vice president of citizens bank, national association",darran wee,2,0,0.0,Darran Wee,,1.0,0.0,1.0000000000000002,5
100,who is the vice president of comerica bank,mark strzynski,2,0,0.0,Mark Strzynski,,1.0,0.0,1.0000000000000002,5
100,"who is the svp, global relationship manager of hsbc bank usa",christopher m. ames,2,0,0.0,Christopher M. Ames,,1.0,0.0,1.0000000000000002,5
100,who is the vice president of suntrust bank,min park,2,0,0.0,Min Park,,1.0,0.0,1.0000000000000002,5
100,who is the managing director of bank of the west,lee merkle raymond,2,0,0.0,Lee Merkle-Raymond,,0.4,0.05555555555555555,0.2605556710562624,5
100,who is the senior vice president of bbva compass,tyler j. mei,2,0,0.0,Tyler J. Mei,,1.0,0.0,1.0000000000000002,5
100,who is the managing director of east west bank,alexis coyle,2,0,0.0,Alexis Coyle,,1.0,0.0,1.0000000000000002,5
100,who is the relationship manager of fifth third bank,thomas avery,2,0,0.0,Thomas Avery,,1.0,0.0,1.0000000000000002,5
100,who is the executive director of jpmorgan chase bank,marshall trenckmann,2,0,0.0,Marshall Trenckmann,,1.0,0.0,1.0000000000000002,5
100,who is the director of mufg union bank,teuta ghilaga,2,0,0.0,Teuta Ghilaga,,1.0,0.0,1.0000000000000002,5
100,"who is the chief financial officer of omnicell, inc.",peter kuipers,2,0,0.0,Peter Kuipers,,1.0,0.0,1.0000000000000002,5
100,"who is the executive vice president of omnicell, inc.",peter kuipers,2,0,0.0,Peter Kuipers,,1.0,0.0,1.0000000000000002,5
100,"who is the vp relationship manager of wells fargo bank, national association",ray aguilar,2,0,0.0,Ray Aguilar,,1.0,0.0,1.0000000000000002,5
100,"who is the vice president relationship manager of wells fargo bank, national association",ray aguilar,2,0,0.0,Ray Aguilar,,1.0,0.0,1.0000000000000002,5
100,"who is the chief legal and administrative officer of omnicell, inc.",dan johnston,2,0,0.0,Dan Johnston,,1.0,0.0,1.0000000000000002,5
100,"who is the vice president of omnicell, inc.",dan johnston,2,0,0.0,Dan Johnston,,1.0,0.0,1.0000000000000002,5
100,who is the esq. of latham watkins llp,sony ben moshe,2,0,0.0,Sony Ben-Moshe,,0.4,0.07142857142857142,0.2605556710562624,5
100,what is the role in the agreement of the company where darran wee is employed,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company where mark strzynski is employed,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company where christopher m. ames is employed,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company where lee merkle raymond is employed,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company where tyler j. mei is employed,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company where alexis coyle is employed,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company where thomas avery is employed,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company where marshall trenckmann is employed,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company where teuta ghilaga is employed,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company where peter kuipers is employed,borrower,2,0,0.0,Borrower,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company where dan johnston is employed,borrower,2,0,0.0,Vice President and Chief Legal and Administrative Officer,,0.0,0.9122807017543859,0.0,1
100,"what is the role in the agreement of the company associated with bank of the west, fifth third bank",agent,2,0,0.0,Lender,,0.0,0.8333333333333334,0.0,1
100,"what is the role in the agreement of the company associated with jpmorgan chase bank, n.a.",agent,2,0,0.0,"Lender, Syndication Agent",,0.5,0.7916666666666666,0.44943641652398214,1
100,"what is the role in the agreement of the company associated with mufg union bank, n.a.",agent,2,0,0.0,Lender,,0.0,0.8333333333333334,0.0,1
100,"what is the role in the agreement of the company associated with citizens bank, national association",lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company associated with comerica bank,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company associated with hsbc bank usa,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company associated with bank of the west,lender,2,0,0.0,"Lender, Co-Documentation Agent",,0.5,0.7857142857142857,0.4494364165239821,3
100,what is the role in the agreement of the company associated with bbva compass,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company associated with east west bank,lender,2,0,0.0,Lender,,1.0,0.0,1.0,5
100,what is the role in the agreement of the company associated with fifth third bank,lender,2,0,0.0,"Lender, Co-Documentation Agent",,0.5,0.7857142857142857,0.4494364165239821,3
100,what is the role in the agreement of the company associated with jpmorgan chase bank,lender,2,0,0.0,"Lender, Syndication Agent",,0.5,0.75,0.4494364165239821,4
100,what is the role in the agreement of the company associated with mufg union bank,lender,2,0,0.0,Co-Documentation Agent,,0.0,0.8571428571428571,0.0,1
